time,distance,angle
5014,3,122.006
5031,6,122.006
5049,6,122.006
5066,6,122.005
5084,5,122.005
5102,5,122.005
5120,5,122.005
5137,5,122.005
5154,5,122.006
5172,6,122.008
5189,8,122.007
5208,7,122.005
5225,5,122.005
5242,5,122.005
5260,5,122.006
5277,6,122.0011
5296,11,109.008
5313,8,122.004
5330,4,122.007
5348,7,122.007
5365,7,122.006
5384,6,122.007
5401,7,122.007
5419,7,122.008
5436,8,122.008
5454,8,122.006
5472,6,122.007
5489,7,122.008
5507,8,122.009
5525,9,122.002
5543,20,53.0022
5562,22,52.0021
5581,21,52.0029
5600,29,52.0029
5619,29,52.0029
5638,29,52.0023
5656,23,52.0014
5675,14,96.0012
5692,12,105.0012
5710,12,105.001
5728,10,117.0011
5746,11,110.0012
5765,12,104.0012
5782,12,105.0012
5800,12,105.0012
5818,12,105.0012
5836,12,105.0013
5855,13,98.0014
5872,14,92.0014
5891,14,93.0014
5909,14,93.0015
5926,15,87.0015
5945,15,87.0015
5963,15,87.0015
5981,15,87.0017
5999,17,75.0018
6018,18,69.0019
6036,19,63.0021
6054,21,52.0021
6074,21,52.0025
6092,25,52.0031
6112,31,52.0031
6131,31,52.0029
6150,29,52.0029
6169,29,52.003
6188,30,52.003
6207,30,52.0026
6225,26,52.0024
6244,24,52.0026
6263,26,52.0029
6282,29,52.0029
6301,29,52.0028
6320,28,52.0029
6339,29,52.0029
6358,29,52.0028
6377,28,52.0027
6395,27,52.0026
6415,26,52.003
6434,30,52.0031
6453,31,52.0028
6472,28,52.003
6491,30,52.0033
6510,33,52.0031
6530,31,52.0028
6548,28,52.0028
6567,28,52.0029
6586,29,52.003
6605,30,52.0032
6625,32,52.0032
6643,32,52.0031
6663,31,52.003
6682,30,52.003
6701,30,52.0031
6720,31,52.0032
6739,32,52.0032
6758,32,52.003
6777,30,52.0029
6796,29,52.0028
6815,28,52.0028
6834,28,52.0031
6853,31,52.0033
6873,33,52.003
6891,30,52.0028
6910,28,52.0031
6930,31,52.0031
6948,31,52.0027
6968,27,52.0028
6986,28,52.0029
7006,29,52.0029
7024,29,52.0029
7044,29,52.0029
7062,29,52.0029
7081,29,52.0028
7100,28,52.0027
7119,27,52.0024
7138,24,52.0026
7156,26,52.0029
7176,29,52.003
7195,30,52.003
7214,30,52.003
7233,30,52.003
7251,30,52.0029
7271,29,52.0026
7289,26,52.0023
7308,23,52.0021
7326,21,52.0017
7345,17,77.0016
7363,16,82.0017
7382,17,75.0017
7400,17,75.0015
7417,15,87.0015
7436,15,87.0014
7454,14,93.0014
7472,14,93.0015
7490,15,87.0014
7508,14,93.0013
7526,13,99.0013
7544,13,99.0013
7562,13,99.0013
7580,13,99.0013
7599,13,99.002
7617,20,55.0028
7636,28,52.0028
7655,28,52.0028
7674,28,52.0029
7693,29,52.002
7711,20,61.009
7729,9,122.007
7746,7,122.006
7763,6,122.006
7781,6,122.006
7799,6,122.006
7817,6,122.006
7834,6,122.006
7852,6,122.006
7869,6,122.007
7886,7,122.007
7905,7,122.006
7922,6,122.006
7940,6,122.006
7957,6,122.005
7974,5,122.007
7992,7,122.008
8010,8,122.007
8028,7,122.007
8045,7,122.006
8062,6,122.006
8081,6,122.005
8098,5,122.004
8116,4,122.006
8133,6,122.006
8151,6,122.005
8168,5,122.007
8186,7,122.009
8204,9,122.009
8221,9,122.008
8240,8,122.009
8257,9,122.0011
8275,11,110.002
8294,20,54.0029
8313,29,52.0025
8332,25,52.0016
8349,16,85.0021
8369,21,52.0029
8387,29,52.0019
8406,19,67.0011
8423,11,114.0011
8441,11,111.0012
8460,12,104.0012
8477,12,105.0012
8496,12,105.0013
8513,13,98.0014
8531,14,92.0013
8550,13,99.0012
8567,12,105.0014
8586,14,92.0014
8604,14,93.0014
8622,14,93.0014
8640,14,93.0013
8658,13,99.0017
8677,17,74.0017
8694,17,75.0017
8713,17,75.0019
8731,19,63.0017
8750,17,76.0018
8768,18,69.0022
8786,22,52.0022
8805,22,52.0025
8824,25,52.0029
8844,29,52.0026
8862,26,52.0027
8881,27,52.003
8900,30,52.0029
8920,29,52.0025
8938,25,52.0023
8956,23,52.0027
8976,27,52.0029
8994,29,52.0029
9014,29,52.0028
9032,28,52.0029
9052,29,52.003
9070,30,52.0027
9090,27,52.0025
9108,25,52.0028
9127,28,52.0031
9146,31,52.0029
9165,29,52.0032
9185,32,52.0032
9203,32,52.0029
9223,29,52.003
9241,30,52.0031
9261,31,52.0029
9279,29,52.0028
9298,28,52.0028
9317,28,52.0029
9336,29,52.0028
9355,28,52.0029
9374,29,52.0031
9394,31,52.0032
9413,32,52.0031
9432,31,52.0029
9451,29,52.0029
9469,29,52.0028
9489,28,52.0028
9507,28,52.0029
9527,29,52.003
9545,30,52.0029
9565,29,52.0028
9583,28,52.0029
9603,29,52.0031
9622,31,52.003
9640,30,52.0029
9660,29,52.0029
9678,29,52.0027
9698,27,52.0025
9716,25,52.0026
9735,26,52.0028
9754,28,52.003
9774,30,52.0029
9792,29,52.0031
9811,31,52.003
9830,30,52.0026
9849,26,52.0024
9868,24,52.0027
9887,27,52.003
9906,30,52.003
9925,30,52.003
9944,30,52.0029
9963,29,52.0028
9981,28,52.0025
10000,25,52.0021
10018,21,53.0019
10037,19,64.0017
10055,17,76.0016
10074,16,82.0017
10092,17,75.0017
10110,17,75.0015
10129,15,87.0015
10147,15,87.0015
10165,15,87.0015
10183,15,87.0015
10202,15,87.0014
10219,14,93.0013
10237,13,99.0012
10256,12,105.0012
10273,12,105.0012
10292,12,105.0012
