time,distance,angle
5014,4,122.009
5031,9,122.009
5050,9,122.009
5067,9,122.007
5085,7,122.005
5102,5,122.005
5120,5,122.005
5137,5,122.006
5155,6,122.008
5173,8,122.006
5190,6,122.006
5208,6,122.006
5225,6,122.006
5243,6,122.006
5261,6,122.008
5278,8,122.001
5296,10,122.0012
5314,12,122.0011
5332,11,122.008
5350,8,122.007
5367,7,122.005
5385,5,122.005
5402,5,122.006
5420,6,122.007
5438,7,122.009
5455,9,122.0016
5474,16,52.0016
5492,16,52.001
5510,10,122.001
5528,10,122.009
5545,9,122.009
5563,9,122.009
5581,9,122.008
5599,8,122.008
5616,8,122.009
5635,9,122.001
5652,10,122.0011
5670,11,122.009
5688,9,122.009
5705,9,122.001
5724,10,122.0011
5742,11,122.0016
5761,16,52.0017
5778,17,52.0014
5796,14,122.0015
5815,15,122.0016
5833,16,52.0016
5851,16,52.0017
5869,17,52.0016
5888,16,52.002
5906,20,52.0024
5925,24,52.0027
5944,27,52.003
5963,30,52.003
5982,30,52.0025
6000,25,52.0021
6019,21,52.0021
6037,21,52.0021
6056,21,52.0026
6075,26,52.0025
6093,25,52.0023
6112,23,52.0023
6131,23,52.0022
6150,22,52.0023
6168,23,52.0027
6187,27,52.0028
6206,28,52.0025
6224,25,52.0024
6243,24,52.0027
6262,27,52.003
6282,30,52.003
6300,30,52.003
6320,30,52.0029
6338,29,52.0029
6358,29,52.003
6376,30,52.0029
6395,29,52.0029
6414,29,52.0028
6433,28,52.0027
6452,27,52.0028
6471,28,52.003
6490,30,52.0029
6509,29,52.0028
6528,28,52.0029
6547,29,52.0029
6565,29,52.0029
6585,29,52.003
6604,30,52.0029
6623,29,52.0029
6642,29,52.0029
6661,29,52.0029
6680,29,52.0029
6699,29,52.0029
6718,29,52.003
6736,30,52.0027
6756,27,52.0025
6774,25,52.0026
6793,26,52.0026
6812,26,52.0026
6831,26,52.0025
6849,25,52.0023
6867,23,52.0022
6886,22,52.0021
6905,21,52.0021
6924,21,52.0021
6942,21,52.0023
6961,23,52.0023
6979,23,52.0025
6998,25,52.0026
7017,26,52.0022
7035,22,52.0021
7054,21,52.002
7072,20,52.0024
7091,24,52.0029
7110,29,52.0026
7129,26,52.0026
7148,26,52.0024
7166,24,52.0017
7184,17,52.0016
7202,16,52.0016
7221,16,52.0015
7239,15,52.0017
7258,17,52.0018
7276,18,52.0016
7293,16,52.0011
7312,11,122.001
7329,10,122.0011
7348,11,122.001
7365,10,122.008
7383,8,122.008
7401,8,122.009
7418,9,122.0011
7437,11,122.001
7454,10,122.008
7472,8,122.006
7489,6,122.007
7507,7,122.008
7525,8,122.007
7542,7,122.005
7560,5,122.007
7578,7,122.007
7596,7,122.004
7613,4,122.004
7630,4,122.005
7648,5,122.008
7665,8,122.008
7684,8,122.006
7701,6,122.008
7718,8,122.009
7736,9,122.009
7754,9,122.0015
7773,15,122.0015
7790,15,122.001
7809,10,122.009
7826,9,122.009
7844,9,122.009
7862,9,122.001
7879,10,122.001
7898,10,122.001
7915,10,122.001
7933,10,122.009
7951,9,122.0011
7969,11,122.0011
7987,11,122.0012
8005,12,122.0014
8024,14,122.0016
8042,16,52.0016
8059,16,52.0014
8078,14,122.0013
8096,13,122.0015
8115,15,122.0019
8133,19,52.0022
8152,22,52.0022
8170,22,52.0024
8188,24,52.0028
8208,28,52.0029
8226,29,52.0024
8245,24,52.002
8264,20,52.0022
8283,22,52.0021
8301,21,52.002
