time,distance,angle
5014,5,122.005
5031,5,111.005
5049,5,120.005
5066,5,120.005
5084,5,120.005
5101,5,120.005
5118,5,120.005
5136,5,120.005
5153,5,120.008
5172,8,110.001
5189,10,104.007
5207,7,114.007
5225,7,114.006
5242,6,117.005
5260,5,120.007
5277,7,113.001
5296,10,104.001
5313,10,105.001
5331,10,105.009
5349,9,108.007
5366,7,114.005
5384,5,120.005
5401,5,120.006
5420,6,116.006
5437,6,117.0017
5455,17,76.0029
5475,29,52.0025
5493,25,55.0015
5511,15,87.009
5529,9,109.008
5547,8,111.008
5564,8,111.009
5582,9,107.001
5600,10,104.009
5618,9,108.008
5636,8,111.008
5653,8,111.008
5671,8,111.009
5689,9,107.009
5706,9,108.008
5724,8,111.009
5742,9,107.0011
5760,11,101.0012
5778,12,98.0014
5796,14,92.0015
5815,15,89.0015
5832,15,90.0016
5851,16,82.0016
5869,16,81.0023
5888,23,59.0029
5907,29,52.0029
5926,29,52.0023
5944,23,62.0016
5962,16,83.0018
5981,18,75.0021
5999,21,66.0027
6019,27,52.003
6038,30,52.0029
6056,29,52.0029
6076,29,52.0028
6094,28,52.0028
6114,28,52.0024
6132,24,58.0021
6151,21,67.0021
6169,21,66.0019
6188,19,73.0018
6206,18,76.0018
6224,18,75.0019
6243,19,72.002
6261,20,69.002
6280,20,69.0021
6298,21,66.0025
6317,25,54.0028
6336,28,52.0029
6354,29,52.0028
6374,28,52.0025
6392,25,55.0026
6412,26,52.0029
6430,29,52.0025
6449,25,55.0025
6468,25,54.0026
6487,26,52.0023
6505,23,61.0022
6523,22,64.0023
6542,23,60.0023
6561,23,60.0023
6580,23,60.0024
6598,24,57.0024
6617,24,57.0023
6636,23,61.0026
6654,26,52.0025
6673,25,55.0022
6691,22,64.0022
6711,22,63.0022
6729,22,63.0022
6748,22,63.0025
6766,25,54.0029
6786,29,52.0026
6804,26,52.0023
6822,23,61.0024
6842,24,57.0023
6860,23,61.0023
6879,23,60.0023
6897,23,60.0022
6916,22,64.0023
6935,23,60.0026
6953,26,52.0025
6972,25,55.0024
6991,24,58.0028
7010,28,52.0025
7028,25,55.0024
7048,24,58.0028
7066,28,52.0029
7086,29,52.0028
7104,28,52.0025
7123,25,55.0024
7142,24,58.0023
7160,23,61.0023
7179,23,60.0021
7197,21,67.0019
7216,19,73.0019
7234,19,72.0018
7252,18,76.0018
7271,18,75.0018
7289,18,75.0023
7308,23,59.0028
7327,28,52.0029
7346,29,52.0029
7365,29,52.003
7384,30,52.003
7403,30,52.0025
7421,25,56.0018
7440,18,77.0015
7458,15,85.0021
7477,21,65.0028
7495,28,52.0029
7515,29,52.0022
7533,22,65.0017
7552,17,80.0017
7570,17,78.0015
7587,15,85.0013
7606,13,96.0012
7623,12,99.0011
7642,11,102.0011
7659,11,102.0011
7677,11,102.001
7695,10,105.008
7713,8,111.009
7731,9,107.009
7748,9,108.009
7767,9,108.002
7785,20,67.0018
7803,18,76.006
7821,6,119.007
7838,7,113.006
7856,6,117.004
7873,4,122.004
7890,4,122.009
7909,9,106.001
7926,10,104.007
7944,7,114.006
7961,6,117.005
7979,5,120.006
7997,6,116.004
8014,4,122.006
8032,6,116.009
8049,9,107.008
8068,8,111.007
8085,7,114.006
8102,6,117.005
8120,5,120.008
8137,8,110.009
8156,9,107.009
8173,9,108.008
8190,8,111.007
8209,7,114.0018
8227,18,73.0018
8245,18,75.008
8263,8,113.009
8281,9,107.008
8298,8,111.009
8316,9,107.008
8334,8,111.007
8351,7,114.008
8370,8,110.008
8387,8,111.008
8404,8,111.008
8423,8,111.008
8440,8,111.009
8458,9,107.001
8476,10,104.0011
8494,11,101.0012
8512,12,98.0012
8529,12,99.0012
8548,12,99.0012
8566,12,99.0014
8584,14,92.0015
8602,15,89.0016
8621,16,82.0018
8639,18,75.0025
8657,25,53.003
8677,30,52.0022
8695,22,65.0016
8714,16,83.0018
8732,18,75.0019
8751,19,72.0019
8769,19,72.0024
8787,24,56.0029
8807,29,52.0028
8825,28,52.0029
8845,29,52.003
8863,30,52.0025
8882,25,56.002
8900,20,71.0019
8919,19,73.0018
8937,18,76.0018
8955,18,75.002
8974,20,69.002
8992,20,69.0019
9011,19,73.0022
9029,22,63.0021
9048,21,67.0019
9066,19,73.0023
9085,23,60.0026
9104,26,52.0028
9123,28,52.0029
9142,29,52.0029
9161,29,52.0024
9180,24,59.0021
9198,21,67.0022
9217,22,63.0025
9235,25,54.0029
9254,29,52.0025
9273,25,55.0026
9292,26,52.0026
9311,26,52.0022
9329,22,64.0022
9348,22,63.0026
9367,26,52.0029
9385,29,52.0025
9404,25,55.0022
9422,22,64.0022
9442,22,63.0022
9460,22,63.0022
9479,22,63.0022
9497,22,63.0022
9516,22,63.0025
9535,25,54.0025
9553,25,54.0022
9572,22,64.0024
9590,24,57.0025
9610,25,54.0022
9628,22,64.0023
9647,23,60.0023
9665,23,60.0022
9683,22,64.0026
9703,26,52.0029
9721,29,52.0029
9741,29,52.0029
9759,29,52.0025
9778,25,55.0026
9797,26,52.0029
9817,29,52.0024
9835,24,59.002
9853,20,70.0022
9872,22,63.0021
9890,21,67.002
9909,20,70.0022
9927,22,63.002
9946,20,70.0018
9964,18,76.0018
9982,18,75.0019
10001,19,72.002
10019,20,69.0025
10039,25,53.0029
10057,29,52.0029
10077,29,52.0028
10095,28,52.0028
10115,28,52.0029
10133,29,52.0029
10152,29,52.0022
10171,22,65.0016
10189,16,83.0018
10208,18,75.0017
10225,17,79.0014
10244,14,93.0021
10263,21,65.0023
10281,23,60.0018
10300,18,77.0017
10317,17,79.0014
10336,14,93.0014
10354,14,93.0014
10372,14,93.0011
10390,11,102.009
10407,9,108.009
10426,9,108.009
10443,9,108.009
10461,9,108.009
10479,9,108.001
10497,10,104.0011
10515,11,101.0011
10532,11,102.002
10552,20,68.0017
10569,17,79.006
10588,6,119.006
10605,6,117.007
10622,7,113.006
10640,6,117.004
10657,4,122.003
10675,3,122.003
10692,3,122.006
10711,6,116.006
10728,6,117.004
10745,4,122.006
10763,6,116.006
10780,6,117.004
10798,4,122.004
10815,4,122.005
10832,5,119.005
10851,5,120.007
10868,7,113.009
10886,9,107.007
10903,7,114.005
10921,5,120.005
10939,5,120.0016
10957,16,80.0017
10976,17,78.0018
10994,18,75.0018
11012,18,75.0012
11030,12,100.0013
11048,13,95.007
11066,7,115.008
11083,8,110.008
11102,8,111.008
11119,8,111.009
11137,9,107.008
11155,8,111.008
11172,8,111.009
11190,9,107.009
11208,9,108.009
11226,9,108.001
11244,10,104.001
11261,10,105.001
11280,10,105.0011
11297,11,101.0011
11316,11,102.0014
11334,14,92.0016
11353,16,81.0016
11371,16,81.0017
11388,17,78.0024
11408,24,56.0023
11426,23,61.0015
11445,15,86.0015
11462,15,84.0017
11481,17,78.0024
11500,24,56.0029
11518,29,52.0029
11538,29,52.0029
11557,29,52.0029
11576,29,52.0023
11594,23,62.0019
11613,19,73.0019
11631,19,72.0018
11650,18,76.0019
11668,19,72.0021
11686,21,66.0022
11705,22,63.0021
11724,21,67.0022
11743,22,63.0025
11761,25,54.0025
11780,25,54.0021
11799,21,67.0022
11817,22,63.0023
11836,23,60.0023
11854,23,60.0026
11874,26,52.0026
11892,26,52.0023
11911,23,61.0026
11930,26,52.0025
11949,25,55.0022
11967,22,64.0023
11986,23,60.0025
12005,25,54.0025
12023,25,54.0023
12042,23,61.0023
12061,23,60.0023
12080,23,60.0024
12098,24,57.0024
12118,24,57.0024
12136,24,57.0025
12154,25,54.0025
12174,25,54.0025
12192,25,54.0024
12211,24,58.0025
12230,25,54.0026
12249,26,52.0027
12267,27,52.0025
12286,25,55.0024
12305,24,58.0024
12323,24,57.0025
12343,25,54.0026
12361,26,52.0025
12381,25,55.0024
12399,24,58.0025
12418,25,54.0025
12437,25,54.0025
12455,25,54.0024
12474,24,58.0024
12493,24,57.0027
12512,27,52.0026
12530,26,52.0023
12550,23,61.0023
12568,23,60.0023
12587,23,60.0023
12605,23,60.0023
12623,23,60.0025
12643,25,54.0026
12661,26,52.0023
12680,23,61.0024
12699,24,57.0025
12718,25,54.0023
12736,23,61.0025
12755,25,54.0029
12774,29,52.0025
12793,25,55.0025
12812,25,54.0029
12831,29,52.0028
12850,28,52.0023
12868,23,62.002
12887,20,70.0022
12906,22,63.0023
12924,23,60.0023
12943,23,60.002
12961,20,70.0018
12980,18,76.0018
12998,18,75.0023
13017,23,59.0028
13036,28,52.0028
13056,28,52.0028
13074,28,52.0023
13092,23,62.0017
13111,17,80.0016
13129,16,82.0023
13148,23,59.0029
13167,29,52.0023
13186,23,62.0017
13204,17,80.0018
13222,18,75.0016
13240,16,82.0012
13258,12,99.0011
13276,11,102.001
13294,10,105.009
13312,9,108.009
13330,9,108.001
13347,10,104.001
13366,10,105.008
13383,8,111.007
13401,7,114.0018
13420,18,73.0018
13437,18,75.007
13455,7,116.008
13473,8,110.007
13491,7,114.005
13508,5,120.004
13526,4,122.005
13543,5,119.006
13561,6,116.005
13579,5,120.004
13596,4,122.004
13614,4,122.006
13631,6,116.007
13649,7,113.007
13667,7,114.008
13684,8,110.007
13702,7,114.0016
13721,16,80.0018
13739,18,75.0019
13758,19,72.0026
13776,26,52.0015
13794,15,87.008
13812,8,112.008
13830,8,111.007
13847,7,114.007
13865,7,114.007
13883,7,114.008
13900,8,110.009
13919,9,107.001
13936,10,104.001
13955,10,105.009
13972,9,108.009
13989,9,108.001
14008,10,104.001
14025,10,105.001
14044,10,105.0011
14062,11,101.0012
14080,12,98.0016
14098,16,81.0019
14116,19,72.0019
14135,19,72.0018
14153,18,76.0024
14173,24,56.003
14192,30,52.0023
14211,23,62.0018
14229,18,77.002
14247,20,69.0022
14266,22,63.0025
14284,25,54.0028
14304,28,52.0028
14322,28,52.0029
14342,29,52.0029
14361,29,52.0023
14380,23,62.0018
14398,18,77.0018
14416,18,75.002
14435,20,69.002
14453,20,69.0019
14472,19,73.0021
14490,21,66.0021
14509,21,66.0019
14527,19,73.0019
14545,19,72.0021
14564,21,66.0026
14583,26,52.0025
14602,25,55.0025
14621,25,54.0029
14640,29,52.0025
14658,25,55.0025
14678,25,54.0025
14696,25,54.0024
14714,24,58.0028
14734,28,52.0029
14752,29,52.0025
14772,25,55.0025
14790,25,54.0025
14809,25,54.0022
14827,22,64.0022
14846,22,63.0024
14865,24,57.0024
14883,24,57.0022
14902,22,64.0023
14921,23,60.0024
14940,24,57.0024
14958,24,57.0023
14977,23,61.0022
14996,22,64.0022
15014,22,63.0022
15033,22,63.0023
15051,23,60.0023
15071,23,60.0025
15089,25,54.0026
15108,26,52.0022
15126,22,64.0022
15145,22,63.0026
15164,26,52.0025
15182,25,55.0022
15202,22,64.0026
15220,26,52.0025
15239,25,55.0025
15258,25,54.0028
15277,28,52.0028
15296,28,52.0024
15314,24,58.0024
15333,24,57.0025
15352,25,54.0023
15371,23,61.0022
15389,22,64.0019
15408,19,73.0019
15426,19,72.002
15444,20,69.002
15463,20,69.0019
15481,19,73.0021
15500,21,66.0021
15518,21,66.0024
15538,24,57.0029
15557,29,52.0029
15576,29,52.0029
15595,29,52.0029
15613,29,52.0029
15633,29,52.003
15651,30,52.0025
15670,25,56.0018
15688,18,77.0015
15707,15,85.0021
15726,21,65.0028
15745,28,52.0029
15764,29,52.0022
15782,22,65.0017
15800,17,80.0019
15819,19,72.0016
15837,16,82.0011
15855,11,103.0011
15873,11,102.001
15891,10,105.009
15908,9,108.001
15927,10,104.001
15944,10,105.009
15963,9,108.008
15980,8,111.008
15997,8,111.0018
16017,18,73.0018
16034,18,75.006
16052,6,119.007
16070,7,113.001
16088,10,104.009
16106,9,108.007
16123,7,114.005
16141,5,120.004
16158,4,122.005
16176,5,119.008
16194,8,110.007
16211,7,114.006
16229,6,117.006
16246,6,117.007
16265,7,113.0011
16282,11,101.009
16300,9,108.008
16318,8,111.008
16335,8,111.009
16354,9,107.008
16371,8,111.005
16389,5,120.006
16406,6,116.006
16423,6,117.0017
16443,17,76.0029
16461,29,52.0026
16481,26,52.0016
16498,16,84.009
16516,9,109.007
