time,distance,angle
5014,5,122.005
5031,5,111.005
5049,5,120.005
5066,5,120.005
5084,5,120.005
5101,5,120.005
5118,5,120.005
5136,5,120.005
5153,5,120.005
5172,5,120.008
5189,8,110.008
5207,8,111.006
5224,6,117.005
5241,5,120.005
5259,5,120.005
5276,5,120.006
5295,6,116.009
5312,9,107.006
5329,6,117.006
5347,6,117.008
5365,8,110.007
5383,7,114.006
5400,6,117.006
5417,6,117.0018
5437,18,73.0019
5454,19,72.0018
5474,18,76.0018
5491,18,75.0018
5510,18,75.0018
5528,18,75.008
5545,8,113.008
5563,8,111.008
5580,8,111.008
5599,8,111.008
5616,8,111.008
5634,8,111.008
5652,8,111.009
5669,9,107.009
5687,9,108.008
5704,8,111.008
5723,8,111.009
5740,9,107.001
5758,10,104.001
5776,10,105.001
5794,10,105.0011
5812,11,101.0012
5830,12,98.0013
5849,13,95.0018
5867,18,74.0019
5885,19,72.0024
5904,24,56.003
5923,30,52.003
5942,30,52.0022
5960,22,65.0015
5979,15,86.0023
5997,23,59.0026
6016,26,52.0026
6035,26,52.0029
6054,29,52.0029
6073,29,52.0028
6092,28,52.0028
6111,28,52.0029
6130,29,52.0024
6149,24,59.0018
6166,18,77.002
6185,20,69.0022
6204,22,63.0022
6222,22,63.002
6241,20,70.0019
6259,19,73.002
6278,20,69.002
6296,20,69.0021
6315,21,66.0022
6333,22,63.0021
6351,21,67.0024
6371,24,57.0028
6389,28,52.003
6409,30,52.0029
6427,29,52.0029
6447,29,52.003
6466,30,52.0029
6484,29,52.0029
6504,29,52.0029
6522,29,52.003
6542,30,52.003
6560,30,52.003
6580,30,52.0029
6598,29,52.0029
6618,29,52.0029
6636,29,52.0029
6656,29,52.0029
6674,29,52.0029
6693,29,52.0029
6712,29,52.0029
6731,29,52.0025
6750,25,55.0026
6768,26,52.003
6788,30,52.003
6807,30,52.0029
6825,29,52.0029
6845,29,52.0029
6863,29,52.003
6883,30,52.0029
6901,29,52.0028
6921,28,52.0028
6939,28,52.0024
6958,24,58.0021
6976,21,67.0021
6994,21,66.002
7013,20,70.0019
7031,19,73.0019
7050,19,72.0019
7068,19,72.0021
7087,21,66.002
7105,20,70.0018
7123,18,76.0019
7142,19,72.0025
7161,25,53.003
7180,30,52.0029
7199,29,52.0029
7219,29,52.0029
7237,29,52.0029
7257,29,52.0029
7275,29,52.0026
7293,26,52.0022
7312,22,64.0019
7330,19,73.0016
7349,16,82.0023
7368,23,59.0029
7387,29,52.0029
7406,29,52.0028
7425,28,52.0021
7443,21,68.0015
7461,15,86.0012
7479,12,99.0011
7497,11,102.0011
7515,11,102.001
7533,10,105.001
7550,10,105.001
7569,10,105.009
7586,9,108.001
7604,10,104.001
7622,10,105.007
7640,7,114.007
7657,7,114.0014
7675,14,91.0024
7695,24,55.0019
7712,19,74.007
7730,7,116.005
7748,5,120.004
7766,4,122.005
7783,5,119.004
7800,4,122.005
7818,5,119.005
7835,5,120.006
7853,6,116.006
7870,6,117.007
7888,7,113.008
7906,8,110.006
7923,6,117.006
7941,6,117.007
7958,7,113.006
7976,6,117.006
7994,6,117.006
8011,6,117.005
8029,5,120.0018
8048,18,73.0018
8066,18,75.0018
8084,18,75.0019
8102,19,72.007
8120,7,116.008
8137,8,110.008
8156,8,111.006
8173,6,117.007
8190,7,113.007
8208,7,114.007
8225,7,114.009
8244,9,107.009
8261,9,108.008
8279,8,111.009
8297,9,107.0011
8314,11,101.001
8333,10,105.0011
8350,11,101.0011
8369,11,102.001
8386,10,105.0011
8404,11,101.0014
8423,14,92.0014
8440,14,93.0015
8459,15,89.0017
8477,17,78.0023
8497,23,59.0029
8515,29,52.0023
8534,23,62.0018
8552,18,77.0017
8570,17,79.0017
8589,17,78.0023
8607,23,59.0029
8627,29,52.003
8645,30,52.003
8665,30,52.003
8684,30,52.003
8702,30,52.0025
8721,25,56.002
8739,20,71.0021
8758,21,66.0022
8776,22,63.0021
8795,21,67.002
8813,20,70.0019
8832,19,73.0019
8850,19,72.0021
8869,21,66.0026
8888,26,52.003
8907,30,52.003
8926,30,52.003
8945,30,52.003
8964,30,52.003
8983,30,52.0029
9001,29,52.0029
9021,29,52.0026
9039,26,52.0023
9058,23,61.0023
9077,23,60.0023
9096,23,60.0023
9114,23,60.0023
9133,23,60.0024
9151,24,57.0023
9170,23,61.0023
9189,23,60.0026
9207,26,52.0027
9227,27,52.0024
9245,24,58.0026
9264,26,52.0026
9283,26,52.0025
9302,25,55.0025
9320,25,54.0024
9339,24,58.0025
9358,25,54.0026
9376,26,52.0025
9396,25,55.0023
9414,23,61.0023
9433,23,60.0023
9451,23,60.0024
9470,24,57.0025
9489,25,54.0024
9507,24,58.0027
9527,27,52.0028
9545,28,52.0024
9564,24,58.0024
9583,24,57.0024
9602,24,57.0023
9620,23,61.0027
9639,27,52.0029
9658,29,52.0029
9677,29,52.0029
9696,29,52.0028
9715,28,52.0026
9734,26,52.0028
9753,28,52.0027
9772,27,52.0023
9790,23,61.0026
9809,26,52.0029
9828,29,52.0029
9847,29,52.0029
9866,29,52.0029
9885,29,52.0029
9904,29,52.0024
9922,24,59.0022
9942,22,64.0021
9960,21,67.0019
9977,19,73.002
9997,20,69.0022
10015,22,63.0023
10034,23,60.0021
10052,21,67.0024
10072,24,57.0024
10090,24,57.0024
10108,24,57.003
10128,30,52.003
10146,30,52.003
10166,30,52.0024
10184,24,59.002
10203,20,70.0021
10221,21,66.0017
10240,17,79.0023
10259,23,59.003
10277,30,52.0023
10296,23,62.0016
10314,16,83.0015
10333,15,85.0014
10350,14,92.0013
10369,13,96.0011
10386,11,102.001
10404,10,105.001
10422,10,105.009
10440,9,108.008
10458,8,111.008
10475,8,111.008
10493,8,111.008
10511,8,111.006
10528,6,117.006
10546,6,117.005
10564,5,120.003
10580,3,122.003
10599,3,122.006
10616,6,116.009
10634,9,107.009
10652,9,108.006
10670,6,117.005
10687,5,120.007
10704,7,113.009
10723,9,107.009
10740,9,108.008
10758,8,111.007
10776,7,114.0017
10795,17,76.0018
10813,18,75.0019
10831,19,72.003
10851,30,52.002
10868,20,72.001
10887,10,107.009
10904,9,108.009
10923,9,108.009
10940,9,108.001
10957,10,104.0011
10976,11,101.009
10993,9,108.008
11012,8,111.008
11029,8,111.009
11046,9,107.001
11065,10,104.009
11082,9,108.009
11101,9,108.0011
11118,11,101.0011
11137,11,102.0011
11155,11,102.0013
11172,13,95.0014
11191,14,92.0015
11209,15,89.0016
11228,16,82.0023
11246,23,59.003
11266,30,52.0022
11284,22,65.0014
11301,14,93.0015
11320,15,88.0017
11338,17,78.0024
11358,24,56.0029
11376,29,52.0029
11396,29,52.0029
11414,29,52.0029
11433,29,52.0029
11453,29,52.0024
11471,24,59.0019
11490,19,74.0019
11508,19,72.0018
11527,18,76.002
11545,20,69.002
11564,20,69.002
11582,20,69.0022
11600,22,63.0021
11619,21,67.0019
11637,19,73.0021
11656,21,66.0021
11674,21,66.002
11693,20,70.0025
11712,25,53.0029
11731,29,52.0029
11750,29,52.003
11769,30,52.0029
11788,29,52.0029
11807,29,52.0029
11826,29,52.003
11845,30,52.0026
11864,26,52.0025
11883,25,55.0029
11901,29,52.003
11921,30,52.003
11940,30,52.003
11959,30,52.0026
11977,26,52.0022
11997,22,64.0022
12015,22,63.0022
12034,22,63.0022
12052,22,63.0026
12071,26,52.003
12090,30,52.0026
12108,26,52.0026
12128,26,52.0026
12146,26,52.0026
12166,26,52.0025
12184,25,55.0026
12203,26,52.003
12222,30,52.003
12241,30,52.0029
12260,29,52.0029
12279,29,52.0029
12298,29,52.0029
12317,29,52.0028
12336,28,52.0024
12355,24,58.002
12374,20,70.0022
12392,22,63.0022
12410,22,63.0022
12429,22,63.0022
12447,22,63.0019
12466,19,73.0019
12484,19,72.002
12503,20,69.002
12521,20,69.002
12540,20,69.002
12559,20,69.0024
12577,24,57.0029
12597,29,52.0029
12615,29,52.0029
12635,29,52.0028
12653,28,52.0028
12673,28,52.0023
12691,23,62.0019
12709,19,73.0018
12728,18,76.0016
12746,16,82.0022
12765,22,62.0029
12784,29,52.0029
12803,29,52.0027
12822,27,52.002
12839,20,71.0015
12858,15,86.0013
12876,13,96.0011
12894,11,102.001
12912,10,105.001
12930,10,105.009
12948,9,108.009
12965,9,108.008
12983,8,111.008
13001,8,111.007
13019,7,114.008
13036,8,110.008
13054,8,111.007
13072,7,114.009
13089,9,107.007
13107,7,114.004
13124,4,122.004
13143,4,122.004
13160,4,122.004
13177,4,122.007
13195,7,113.009
13212,9,107.006
13231,6,117.006
13248,6,117.006
13265,6,117.005
13283,5,120.006
13300,6,116.008
13319,8,110.009
13336,9,107.006
13353,6,117.005
13371,5,120.007
13389,7,113.008
13407,8,110.007
13424,7,114.006
13443,6,117.0018
13461,18,73.003
13480,30,52.003
13499,30,52.0017
13517,17,81.007
13535,7,116.009
13552,9,107.007
13571,7,114.007
13588,7,114.008
13605,8,110.008
13623,8,111.008
13641,8,111.006
13659,6,117.008
13676,8,110.009
13694,9,107.009
13712,9,108.009
13729,9,108.001
13748,10,104.009
13765,9,108.008
13784,8,111.001
13801,10,104.0012
13819,12,98.0012
13838,12,99.0011
13855,11,102.001
13874,10,105.0011
13891,11,101.0013
13910,13,95.0014
13928,14,92.0015
13946,15,89.0017
13965,17,78.0018
13982,18,75.0023
14002,23,59.0029
14021,29,52.0029
14040,29,52.0023
14058,23,62.0016
14076,16,83.0016
14095,16,81.0016
14112,16,81.0022
14132,22,62.0029
14151,29,52.0029
14170,29,52.0029
14189,29,52.0029
14208,29,52.0029
14227,29,52.0029
14245,29,52.0029
14265,29,52.0025
14283,25,55.002
14302,20,71.0018
14320,18,76.0019
14339,19,72.0021
14357,21,66.0022
14375,22,63.002
14394,20,70.0021
14413,21,66.0023
14432,23,60.0022
14450,22,64.0021
14469,21,67.0022
14487,22,63.0023
14507,23,60.0023
14525,23,60.0021
14543,21,67.0021
14562,21,66.0021
14580,21,66.002
14599,20,70.0021
14617,21,66.0022
14637,22,63.002
14655,20,70.0021
14673,21,66.0021
14692,21,66.002
14710,20,70.0022
14729,22,63.0023
14747,23,60.0021
14766,21,67.002
14785,20,70.0023
14803,23,60.0022
14822,22,64.002
14840,20,70.0019
14859,19,73.0018
14877,18,76.0018
14896,18,75.0021
14914,21,66.002
14932,20,70.0019
14951,19,73.0019
14969,19,72.0018
14988,18,76.0024
15007,24,56.0029
15026,29,52.0029
15045,29,52.0029
15064,29,52.003
15083,30,52.0029
15102,29,52.0029
15121,29,52.003
15140,30,52.0028
15159,28,52.0024
15177,24,58.0021
15196,21,67.0018
15214,18,76.0023
15234,23,59.0024
15252,24,57.0023
15270,23,61.0029
15290,29,52.003
15309,30,52.0029
15328,29,52.0024
15346,24,59.0019
15365,19,74.0016
15383,16,82.0014
15401,14,92.0013
15419,13,96.0012
15437,12,99.0011
15455,11,102.009
15473,9,108.008
15491,8,111.008
15508,8,111.008
15526,8,111.007
15544,7,114.008
15561,8,110.007
15579,7,114.0018
15598,18,73.0029
15618,29,52.0017
15635,17,81.005
15652,5,122.007
15670,7,113.009
15688,9,107.007
15706,7,114.005
15723,5,120.007
15741,7,113.007
15759,7,114.005
15776,5,120.006
15794,6,116.006
15811,6,117.005
15828,5,120.006
15847,6,116.007
15864,7,113.006
15882,6,117.006
15899,6,117.006
15917,6,117.005
15935,5,120.0018
15953,18,73.0019
15972,19,72.0019
15990,19,72.003
16010,30,52.002
16027,20,72.001
16046,10,107.001
16063,10,105.009
16081,9,108.008
16099,8,111.008
16117,8,111.009
16135,9,107.009
16152,9,108.009
16171,9,108.001
16188,10,104.001
16206,10,105.009
16224,9,108.009
16242,9,108.009
16260,9,108.009
16277,9,108.001
16295,10,104.0011
16314,11,101.0013
16331,13,95.0013
16350,13,96.0015
16368,15,89.0018
16387,18,75.0017
16405,17,79.0024
16423,24,56.003
16443,30,52.0029
16461,29,52.0029
16481,29,52.0023
16499,23,62.0016
16518,16,83.0016
16536,16,81.0022
16555,22,62.0028
16574,28,52.003
16592,30,52.0029
16612,29,52.0029
16630,29,52.0029
