time,distance,angle
5014,4,122.004
5031,4,122.004
5049,4,122.004
5066,4,122.004
5084,4,122.004
5101,4,122.004
5118,4,122.004
5136,4,122.004
5153,4,122.004
5171,4,122.005
5188,5,122.007
5207,7,122.009
5224,9,122.001
5241,10,122.001
5260,10,122.007
5277,7,122.005
5295,5,122.007
5312,7,122.007
5330,7,122.005
5348,5,122.005
5365,5,122.005
5383,5,122.005
5400,5,122.005
5417,5,122.005
5435,5,122.005
5452,5,122.005
5470,5,122.005
5487,5,122.005
5505,5,122.005
5522,5,122.005
5539,5,122.005
5558,5,122.005
5575,5,122.005
5593,5,122.005
5610,5,122.007
5627,7,122.001
5646,10,122.001
5663,10,122.007
5681,7,122.005
5698,5,122.005
5715,5,122.005
5733,5,122.005
5750,5,122.005
5769,5,122.005
5786,5,122.007
5804,7,122.001
5821,10,122.007
5839,7,122.005
5857,5,122.005
5874,5,122.005
5892,5,122.005
5909,5,122.007
5926,7,122.007
5944,7,122.005
5961,5,122.005
5980,5,122.005
5997,5,122.005
6014,5,122.005
6032,5,122.005
6049,5,122.005
6067,5,122.007
6084,7,122.007
6102,7,122.005
6119,5,122.005
6137,5,122.005
6155,5,122.007
6172,7,122.007
6190,7,122.005
6207,5,122.007
6225,7,122.007
6243,7,122.005
6260,5,122.005
6278,5,122.005
6295,5,122.005
6312,5,122.005
6330,5,122.005
6347,5,122.005
6365,5,122.005
6382,5,122.005
6400,5,122.005
6417,5,122.005
6435,5,122.005
6453,5,122.005
6470,5,122.005
6488,5,122.007
6505,7,122.001
6522,10,122.001
6541,10,122.001
6558,10,122.007
6577,7,122.005
6594,5,122.007
6611,7,122.001
6629,10,122.007
6647,7,122.005
6665,5,122.007
6682,7,122.001
6700,10,122.007
6718,7,122.005
6735,5,122.005
6753,5,122.005
6770,5,122.007
6788,7,122.001
6806,10,122.001
6823,10,122.001
6842,10,122.007
6859,7,122.005
6877,5,122.007
6894,7,122.001
6913,10,122.001
6930,10,122.007
6947,7,122.005
6965,5,122.005
6982,5,122.005
7001,5,122.007
7018,7,122.001
7035,10,122.009
7054,9,122.007
7071,7,122.005
7089,5,122.005
7106,5,122.004
7123,4,122.004
7141,4,122.004
7158,4,122.004
7176,4,122.004
7193,4,122.004
7211,4,122.004
7228,4,122.004
7245,4,122.004
7263,4,122.004
7280,4,122.004
7298,4,122.004
7315,4,122.004
7332,4,122.004
7350,4,122.004
7367,4,122.004
7385,4,122.004
7402,4,122.004
7419,4,122.004
7437,4,122.004
7454,4,122.004
7472,4,122.004
7489,4,122.004
7506,4,122.004
7524,4,122.004
7541,4,122.004
7559,4,122.004
7576,4,122.004
7593,4,122.004
7611,4,122.004
7628,4,122.004
7646,4,122.004
7663,4,122.004
7681,4,122.004
7698,4,122.004
7715,4,122.004
7733,4,122.004
7750,4,122.004
7768,4,122.004
7785,4,122.004
7802,4,122.005
7820,5,122.005
7837,5,122.006
7856,6,122.008
7873,8,122.006
7890,6,122.007
7908,7,122.007
7925,7,122.004
7943,4,122.008
7961,8,122.009
7979,9,122.008
7997,8,122.006
8014,6,122.005
8032,5,122.006
8049,6,122.007
8067,7,122.008
8085,8,122.009
8102,9,122.008
8120,8,122.008
8138,8,122.009
8156,9,122.001
8173,10,122.0011
8192,11,122.0011
8210,11,122.001
8227,10,122.0011
8246,11,122.0011
8263,11,122.0011
8282,11,122.0011
8299,11,122.0011
8317,11,122.001
8335,10,122.001
8353,10,122.0011
8371,11,122.0012
8389,12,122.0011
8408,11,122.0012
8425,12,122.0012
8443,12,122.0012
8461,12,122.0014
8479,14,122.0014
8498,14,122.0014
8516,14,122.0015
8534,15,122.0015
8552,15,122.0015
8570,15,122.0018
8589,18,52.002
8607,20,52.0022
