time,distance,angle
5014,5,122.005
5031,5,122.005
5049,5,122.005
5066,5,122.005
5084,5,122.005
5101,5,122.005
5118,5,122.005
5136,5,122.005
5153,5,122.005
5172,5,122.005
5189,5,122.006
5207,6,122.006
5224,6,122.006
5241,6,122.006
5259,6,122.005
5276,5,122.006
5295,6,122.007
5312,7,122.007
5329,7,122.007
5347,7,122.006
5364,6,122.005
5382,5,122.007
5400,7,122.006
5417,6,122.005
5435,5,122.007
5452,7,122.006
5470,6,122.007
5488,7,122.008
5506,8,122.008
5523,8,122.009
5541,9,122.001
5559,10,116.0011
5577,11,110.0021
5597,21,52.003
5615,30,52.0029
5635,29,52.0028
5653,28,52.0029
5672,29,52.002
5690,20,61.0012
5708,12,108.0012
5727,12,105.0011
5744,11,111.001
5763,10,117.0012
5780,12,104.0013
5798,13,98.0012
5817,12,105.0013
5834,13,98.0013
5853,13,99.0012
5870,12,105.0013
5889,13,98.0013
5907,13,99.0013
5924,13,99.0014
5943,14,92.0015
5961,15,87.0018
5980,18,68.0016
5997,16,82.0016
6016,16,81.0018
6034,18,69.0019
6052,19,63.0019
6071,19,63.0019
6089,19,63.0022
6109,22,52.0027
6127,27,52.0029
6147,29,52.0031
6165,31,52.0032
6184,32,52.0029
6204,29,52.0029
6222,29,52.0029
6242,29,52.0028
6260,28,52.0027
6280,27,52.0029
6298,29,52.0029
6318,29,52.0027
6336,27,52.0026
6354,26,52.0028
6374,28,52.0026
6392,26,52.0026
6412,26,52.0026
6430,26,52.0023
6449,23,52.0026
6468,26,52.0029
6487,29,52.0028
6506,28,52.0026
6524,26,52.0024
6543,24,52.0024
6561,24,52.0029
6581,29,52.0031
6600,31,52.003
6619,30,52.0029
6638,29,52.0029
6657,29,52.0029
6676,29,52.0028
6694,28,52.0028
6714,28,52.0029
6732,29,52.0029
6752,29,52.003
6771,30,52.0031
6790,31,52.0028
6808,28,52.0024
6828,24,52.0024
6846,24,52.0025
6864,25,52.003
6884,30,52.0031
6903,31,52.0027
6922,27,52.0029
6941,29,52.0028
6960,28,52.0027
6979,27,52.0029
6998,29,52.0027
7017,27,52.0027
7035,27,52.0028
7055,28,52.0028
7073,28,52.0029
7093,29,52.0029
7111,29,52.0029
7131,29,52.0029
7149,29,52.0029
7169,29,52.003
7187,30,52.0029
7206,29,52.0028
7225,28,52.0029
7244,29,52.0026
7263,26,52.0021
7281,21,53.002
7300,20,58.0021
7318,21,52.0019
7336,19,64.0017
7355,17,76.0017
7373,17,75.0015
7391,15,87.0014
7409,14,93.0015
7428,15,87.0015
7446,15,87.0014
7463,14,93.0012
7482,12,105.0011
7499,11,111.0011
7518,11,111.0011
7535,11,111.001
7554,10,117.009
7571,9,122.0011
7589,11,110.0011
7607,11,111.0016
7626,16,80.0026
7645,26,52.0029
7664,29,52.0021
7682,21,55.0011
7700,11,114.001
7717,10,117.008
7735,8,122.006
7753,6,122.006
7771,6,122.005
7788,5,122.006
7805,6,122.006
7823,6,122.006
7841,6,122.007
7859,7,122.007
7876,7,122.006
7894,6,122.004
7911,4,122.004
7928,4,122.005
7946,5,122.005
7963,5,122.006
7982,6,122.008
7999,8,122.007
8016,7,122.007
8034,7,122.006
8052,6,122.008
8070,8,122.008
8087,8,122.005
8104,5,122.008
8123,8,122.009
8140,9,122.007
8158,7,122.008
8175,8,122.009
8194,9,122.001
8211,10,116.0012
8229,12,104.0012
8248,12,105.0012
8265,12,105.0022
8285,22,52.003
8303,30,52.0024
8322,24,52.0023
8341,23,52.002
8358,20,59.0011
8377,11,114.009
8394,9,122.0011
8413,11,110.0013
8431,13,98.0011
8449,11,111.0011
8467,11,111.0012
8484,12,104.0012
8503,12,105.0013
8521,13,98.0013
8539,13,99.0012
8557,12,105.0013
8574,13,98.0014
8593,14,92.0014
8611,14,93.0013
8629,13,99.0013
8647,13,99.0014
8666,14,92.0015
8684,15,87.0016
8701,16,81.0017
8720,17,75.0015
8738,15,87.0015
8757,15,87.0017
8775,17,75.0018
8794,18,69.0019
8812,19,63.002
8830,20,57.0022
8849,22,52.0027
8868,27,52.003
8887,30,52.003
8906,30,52.0028
8925,28,52.0028
8944,28,52.0029
8963,29,52.0029
8982,29,52.0029
9000,29,52.0028
9020,28,52.0026
9038,26,52.0026
9057,26,52.0029
9076,29,52.0029
9096,29,52.0028
9114,28,52.0032
9134,32,52.0031
9152,31,52.0028
9171,28,52.003
9191,30,52.003
9209,30,52.0028
9229,28,52.0026
9247,26,52.0028
9267,28,52.0033
9285,33,52.0031
9305,31,52.0029
9324,29,52.0028
9342,28,52.0028
9362,28,52.0029
9380,29,52.003
9400,30,52.0029
9418,29,52.0027
9438,27,52.0027
9456,27,52.003
9476,30,52.003
9494,30,52.0029
9513,29,52.0031
9533,31,52.0033
9551,33,52.003
9571,30,52.0032
9590,32,52.0032
9609,32,52.0029
9628,29,52.0029
9647,29,52.0028
9666,28,52.0028
9684,28,52.0029
9704,29,52.0029
9722,29,52.0029
9742,29,52.0028
9760,28,52.0028
9780,28,52.0029
9799,29,52.0026
9818,26,52.0022
9836,22,52.0022
9854,22,52.0023
9873,23,52.002
9891,20,59.0016
9910,16,83.0016
9928,16,81.0018
9947,18,69.0018
9965,18,69.0015
9982,15,88.0014
10001,14,93.0014
10019,14,93.0014
10037,14,93.0015
10055,15,87.0015
10074,15,87.0015
10091,15,87.0014
10109,14,93.0012
10128,12,105.0011
10145,11,111.001
10164,10,117.001
10181,10,117.002
10201,20,54.0029
10219,29,52.0028
10238,28,52.0028
10258,28,52.0029
10276,29,52.0019
10295,19,67.001
10312,10,120.009
10331,9,122.008
10348,8,122.007
10365,7,122.006
10383,6,122.006
10400,6,122.005
10418,5,122.004
10436,4,122.004
10454,4,122.005
10471,5,122.005
10488,5,122.005
10506,5,122.005
10523,5,122.004
10541,4,122.006
10559,6,122.006
10576,6,122.005
10594,5,122.008
10611,8,122.007
10630,7,122.006
10647,6,122.008
10664,8,122.009
10683,9,122.008
10700,8,122.005
10718,5,122.007
10735,7,122.008
10754,8,122.008
10771,8,122.008
10788,8,122.008
10807,8,122.001
10824,10,116.0011
10843,11,110.002
10861,20,54.0022
10880,22,52.0021
10899,21,52.0019
10916,19,64.0019
10936,19,63.0029
10954,29,52.0021
10973,21,54.0012
10991,12,108.0011
11009,11,111.001
11027,10,117.001
11044,10,117.0011
11063,11,110.0012
11081,12,104.0012
11099,12,105.0011
11117,11,111.0012
11134,12,104.0013
11153,13,98.0016
11171,16,80.0015
11190,15,87.0013
11207,13,99.0014
11226,14,92.0014
11244,14,93.0015
11262,15,87.0016
11281,16,81.0017
11299,17,75.0016
11317,16,82.0017
11335,17,75.0018
11354,18,69.0018
11372,18,69.0019
11390,19,63.0022
11410,22,52.0026
11428,26,52.0028
11448,28,52.0028
11466,28,52.0029
11486,29,52.0029
11504,29,52.0028
11524,28,52.0028
11542,28,52.0026
11561,26,52.0026
11580,26,52.003
11599,30,52.0031
11619,31,52.0032
11638,32,52.0032
11657,32,52.0031
11676,31,52.0031
11695,31,52.0031
11714,31,52.0028
11732,28,52.0023
11752,23,52.0024
11770,24,52.0025
11789,25,52.0028
11808,28,52.0031
11828,31,52.0029
11846,29,52.0025
11866,25,52.0027
11884,27,52.0028
11904,28,52.0028
11922,28,52.0028
11941,28,52.0028
11960,28,52.0028
11979,28,52.0028
11998,28,52.0027
12017,27,52.0026
12036,26,52.0024
12054,24,52.0028
12073,28,52.0031
12093,31,52.0028
12111,28,52.0026
12131,26,52.0025
12149,25,52.0026
12168,26,52.0025
12187,25,52.0027
12206,27,52.0029
12225,29,52.003
12244,30,52.003
12263,30,52.003
12282,30,52.003
12301,30,52.0029
12320,29,52.0029
12339,29,52.0028
12358,28,52.0029
12378,29,52.0029
12396,29,52.0029
12416,29,52.003
12434,30,52.0028
12453,28,52.0028
12472,28,52.0029
12491,29,52.0026
12510,26,52.0021
12528,21,53.0022
12548,22,52.0021
12566,21,52.0018
12583,18,71.0018
12603,18,69.0017
12620,17,76.0015
12639,15,87.0015
12657,15,87.0014
12675,14,93.0014
12693,14,93.0014
12711,14,93.0014
12729,14,93.0013
12747,13,99.0012
12766,12,105.0012
12783,12,105.0012
12802,12,105.0012
12820,12,105.0011
12837,11,111.0011
12856,11,111.002
12874,20,54.0028
12894,28,52.0028
12912,28,52.0021
12931,21,54.0011
12948,11,115.001
12966,10,117.009
12984,9,122.007
13002,7,122.007
13020,7,122.007
13037,7,122.006
13054,6,122.006
13072,6,122.007
13090,7,122.007
13108,7,122.006
13125,6,122.007
13143,7,122.005
13161,5,122.006
13178,6,122.007
13196,7,122.007
13213,7,122.007
13232,7,122.006
13249,6,122.005
13266,5,122.005
13284,5,122.005
13301,5,122.005
13319,5,122.007
13337,7,122.006
13355,6,122.008
13372,8,122.009
13390,9,122.008
13408,8,122.008
13425,8,122.001
13444,10,116.0012
13462,12,104.0021
13480,21,52.003
13500,30,52.0029
13518,29,52.0029
13538,29,52.002
13556,20,61.0011
13574,11,114.001
13592,10,117.009
13609,9,122.0011
13628,11,110.0012
13645,12,104.0012
13664,12,105.0012
13682,12,105.0013
13700,13,98.0012
13718,12,105.0013
13736,13,98.0012
13754,12,105.0014
13772,14,92.0015
13791,15,87.0015
13809,15,87.0016
13828,16,81.0019
13846,19,62.0019
13864,19,63.0019
13883,19,63.0017
13901,17,76.0016
13919,16,82.0017
13937,17,75.0019
13957,19,63.0021
13975,21,52.0021
13993,21,52.0025
14012,25,52.003
14031,30,52.003
14051,30,52.0029
14069,29,52.0029
14089,29,52.0029
14108,29,52.0029
14127,29,52.0029
14146,29,52.0029
14164,29,52.0029
14184,29,52.0029
14202,29,52.0032
14222,32,52.0032
14241,32,52.0031
14261,31,52.0031
14279,31,52.0031
14299,31,52.003
14317,30,52.0028
14337,28,52.0031
14356,31,52.003
14374,30,52.0028
14394,28,52.0029
14413,29,52.0032
14433,32,52.0032
14451,32,52.0029
14471,29,52.0028
14489,28,52.0028
14509,28,52.0028
14527,28,52.0028
14546,28,52.0029
14565,29,52.0029
14584,29,52.0028
14603,28,52.0028
14622,28,52.0028
14641,28,52.0028
14660,28,52.0029
14679,29,52.0031
14698,31,52.0031
14717,31,52.0028
14736,28,52.0026
14755,26,52.0025
14774,25,52.0026
14793,26,52.0026
14812,26,52.0028
14831,28,52.0029
14850,29,52.003
14869,30,52.003
14887,30,52.0032
14907,32,52.0032
14926,32,52.0032
14946,32,52.0032
14964,32,52.003
14984,30,52.0029
15003,29,52.0028
15022,28,52.0029
15041,29,52.0029
15059,29,52.0029
15079,29,52.0029
15097,29,52.003
15117,30,52.003
15136,30,52.0027
15155,27,52.0023
15173,23,52.0021
15192,21,52.0017
15210,17,77.0016
15228,16,82.0017
15247,17,75.0016
15264,16,82.0014
15283,14,93.0015
15301,15,87.0014
15320,14,93.0013
15337,13,99.0013
15355,13,99.0012
15374,12,105.0011
15391,11,111.0011
15410,11,111.0011
15427,11,111.0012
15446,12,104.0011
15464,11,111.0011
15481,11,111.0021
15501,21,52.0029
15519,29,52.003
15539,30,52.0029
15558,29,52.0021
15576,21,55.0012
15594,12,108.009
15611,9,122.008
15630,8,122.007
15647,7,122.006
15665,6,122.007
15682,7,122.007
15699,7,122.006
15718,6,122.005
15735,5,122.006
15753,6,122.008
15770,8,122.007
15789,7,122.006
15806,6,122.006
15823,6,122.006
15841,6,122.004
15858,4,122.006
15877,6,122.006
15894,6,122.005
15911,5,122.005
15929,5,122.006
15946,6,122.006
15964,6,122.005
15982,5,122.006
16000,6,122.007
16017,7,122.007
16035,7,122.008
16053,8,122.008
16070,8,122.008
16088,8,122.007
16106,7,122.008
16123,8,122.008
16141,8,122.009
16159,9,122.009
16177,9,122.009
16195,9,122.001
16212,10,116.0011
16231,11,110.0021
16249,21,52.0024
16268,24,52.0023
16287,23,52.0029
16307,29,52.0022
16324,22,52.0014
16343,14,95.0011
16360,11,112.0012
16378,12,104.0012
16397,12,105.0011
16414,11,111.0013
16433,13,98.0014
16451,14,92.0013
16468,13,99.0013
16487,13,99.0013
16505,13,99.0012
16523,12,105.0012
16541,12,105.0013
16560,13,98.0015
16578,15,87.0014
16595,14,93.0013
16614,13,99.0015
16632,15,87.0016
16651,16,81.0015
16668,15,87.0015
16687,15,87.0016
16705,16,81.0017
16723,17,75.002
16742,20,56.0022
16760,22,52.0022
16779,22,52.0027
16798,27,52.003
16818,30,52.0028
16836,28,52.0028
16856,28,52.0028
16874,28,52.0029
16893,29,52.0029
16913,29,52.0028
16931,28,52.0032
16951,32,52.0032
16970,32,52.0029
16989,29,52.0029
17008,29,52.0029
17027,29,52.003
17046,30,52.0027
17064,27,52.0024
17084,24,52.0026
17102,26,52.0028
17122,28,52.0029
17140,29,52.0029
17160,29,52.0028
17178,28,52.0029
17198,29,52.0028
17216,28,52.0028
17235,28,52.0029
17255,29,52.0029
17273,29,52.0029
17293,29,52.0027
17311,27,52.0026
17331,26,52.0027
17349,27,52.0028
17369,28,52.0028
17387,28,52.0028
