time,distance,angle
5015,31,87.0031
5035,31,52.0031
5054,31,52.0031
5072,31,52.0031
5092,31,52.0032
5111,32,52.0032
5130,32,52.0032
5149,32,52.0032
5169,32,52.0032
5188,32,52.0032
5207,32,52.0032
5226,32,52.0032
5245,32,52.0032
5264,32,52.0032
5283,32,52.0031
5303,31,52.003
5321,30,52.0029
5341,29,52.003
5360,30,52.0029
5379,29,52.003
5398,30,52.0028
5416,28,52.0027
5436,27,52.0026
5454,26,52.0024
5473,24,52.0028
5492,28,52.0028
5511,28,52.0023
5529,23,52.0023
5549,23,52.0028
5567,28,52.0032
5586,32,52.0033
5606,33,52.0033
5625,33,52.0033
5644,33,52.0033
5663,33,52.0033
5683,33,52.0028
5701,28,52.0023
5720,23,52.0022
5738,22,52.0022
5757,22,52.0023
5776,23,52.0022
5794,22,52.0021
5813,21,52.0028
5832,28,52.0027
5851,27,52.0022
5869,22,52.0027
5889,27,52.0033
5908,33,52.0033
5926,33,52.0033
5946,33,52.0032
5965,32,52.0032
5985,32,52.0026
6003,26,52.0019
6022,19,66.0017
6039,17,76.0017
6057,17,75.0017
6076,17,75.0016
6094,16,82.0016
6113,16,81.0017
6131,17,75.0017
6149,17,75.0014
6167,14,94.0014
6185,14,93.0016
6204,16,81.0017
6221,17,75.0015
6240,15,87.0017
6258,17,75.0018
6277,18,69.0015
6295,15,88.0013
6312,13,99.0012
6331,12,105.0013
6348,13,98.0022
6368,22,52.0032
6387,32,52.0024
6405,24,52.0013
6423,13,103.0011
6441,11,111.0011
6459,11,111.0023
6478,23,52.0026
6497,26,52.0013
6514,13,104.009
6533,9,122.009
6550,9,122.009
6567,9,122.009
6586,9,122.008
6603,8,122.008
6621,8,122.007
6638,7,122.008
6657,8,122.007
6674,7,122.006
6691,6,122.007
6709,7,122.004
6726,4,122.007
6745,7,122.007
6762,7,122.003
6779,3,122.003
6797,3,122.004
6814,4,122.003
6832,3,122.003
6849,3,122.005
6866,5,122.007
6884,7,122.006
6901,6,122.005
6919,5,122.005
6936,5,122.004
6953,4,122.006
6972,6,122.005
6989,5,122.005
7007,5,122.006
7024,6,122.006
7042,6,122.008
7060,8,122.005
7077,5,122.004
7095,4,122.006
7112,6,122.006
7130,6,122.004
7147,4,122.005
7164,5,122.005
7182,5,122.007
7200,7,122.008
7218,8,122.006
7235,6,122.006
7252,6,122.005
7270,5,122.007
7288,7,122.007
7306,7,122.005
7323,5,122.006
7341,6,122.007
7358,7,122.008
7376,8,122.009
7394,9,122.009
7411,9,122.009
7430,9,122.0021
7449,21,52.0021
7467,21,52.0012
7485,12,108.0012
7502,12,105.001
7521,10,117.0012
7538,12,104.0014
7557,14,92.0022
7576,22,52.0031
7596,31,52.0032
7614,32,52.0025
7632,25,52.0016
7651,16,85.0014
7669,14,93.0014
7687,14,93.0012
7705,12,105.0012
7723,12,105.0012
7741,12,105.0014
7759,14,92.0015
7777,15,87.0014
7795,14,93.0014
7814,14,93.0014
7831,14,93.0015
7849,15,87.0015
7868,15,87.0016
7886,16,81.0016
7904,16,81.0016
7922,16,81.002
7941,20,56.002
7959,20,57.0025
7979,25,52.0031
7998,31,52.0031
8016,31,52.0033
8036,33,52.0026
8054,26,52.002
8073,20,60.0022
8092,22,52.0022
8111,22,52.0021
8129,21,52.0022
8147,22,52.0021
8166,21,52.0022
8184,22,52.0022
8203,22,52.0027
8222,27,52.0027
8241,27,52.0023
8260,23,52.0024
8279,24,52.0023
8297,23,52.0025
8315,25,52.0027
8335,27,52.003
8354,30,52.0031
8373,31,52.0031
8392,31,52.003
8411,30,52.0029
8430,29,52.0031
8450,31,52.0031
8468,31,52.0029
8487,29,52.0028
8506,28,52.003
8525,30,52.0031
8545,31,52.0029
8563,29,52.0029
8583,29,52.0029
8601,29,52.0029
8621,29,52.0031
8640,31,52.0031
8658,31,52.0028
8678,28,52.0028
8696,28,52.0028
8716,28,52.0027
8734,27,52.0027
8753,27,52.0028
8772,28,52.0031
8792,31,52.0031
8810,31,52.0028
8829,28,52.0028
8848,28,52.0029
8867,29,52.0029
8886,29,52.0028
8905,28,52.0028
8924,28,52.0029
8943,29,52.003
8963,30,52.0029
8981,29,52.003
9000,30,52.003
9019,30,52.003
9038,30,52.0032
9058,32,52.0031
9076,31,52.0029
9096,29,52.0027
9114,27,52.0028
9134,28,52.0027
9152,27,52.0024
9170,24,52.0023
9190,23,52.0027
9208,27,52.0032
9228,32,52.0028
9246,28,52.0028
9266,28,52.0033
9285,33,52.0027
9304,27,52.0021
9322,21,54.0021
9340,21,52.0021
9359,21,52.0021
9377,21,52.0021
9396,21,52.0021
9414,21,52.0022
9434,22,52.0028
9452,28,52.0033
9472,33,52.0033
9491,33,52.0033
9510,33,52.0032
9529,32,52.0032
9548,32,52.0025
9567,25,52.0017
9585,17,79.0018
9604,18,69.002
9622,20,57.0021
9640,21,52.0019
9659,19,64.0016
9676,16,83.0015
9695,15,87.0016
9713,16,81.0015
9732,15,87.0013
9749,13,99.0015
9767,15,87.0016
9786,16,81.0013
9803,13,100.0013
9822,13,99.0014
9840,14,92.0015
9859,15,87.0029
9878,29,52.0028
9896,28,52.0014
9914,14,98.0012
9932,12,105.0012
9950,12,105.0024
9969,24,52.0036
9989,-30,122.0023
10007,23,52.009
10024,9,122.007
10042,7,122.0012
10060,12,103.0014
10079,14,92.001
10096,10,118.007
10114,7,122.007
10132,7,122.009
10149,9,122.008
10168,8,122.005
10185,5,122.005
10203,5,122.005
10220,5,122.005
10237,5,122.007
10255,7,122.008
10273,8,122.008
10291,8,122.008
10308,8,122.006
10326,6,122.005
10344,5,122.005
10361,5,122.005
10379,5,122.005
10396,5,122.005
10414,5,122.006
10431,6,122.004
10448,4,122.008
10467,8,122.009
10484,9,122.005
10502,5,122.004
10519,4,122.007
10537,7,122.001
10555,10,115.009
10573,9,122.008
10591,8,122.008
10608,8,122.008
10627,8,122.007
10644,7,122.005
10661,5,122.006
10679,6,122.008
10697,8,122.001
10715,10,116.001
10733,10,117.008
10750,8,122.008
10768,8,122.008
10786,8,122.009
10804,9,122.001
10822,10,116.002
10841,20,54.0024
