time,distance,angle
5015,29,87.0029
5035,29,52.0029
5053,29,52.003
5072,30,52.003
5092,30,52.003
5110,30,52.003
5130,30,52.003
5148,30,52.003
5168,30,52.003
5186,30,52.003
5206,30,52.003
5225,30,52.003
5243,30,52.003
5263,30,52.0029
5281,29,52.0029
5301,29,52.0029
5319,29,52.0029
5339,29,52.0029
5357,29,52.0031
5377,31,52.0032
5396,32,52.003
5414,30,52.0028
5434,28,52.0028
5452,28,52.0029
5472,29,52.0031
5491,31,52.0031
5510,31,52.0029
5529,29,52.0029
5548,29,52.0028
5567,28,52.0029
5585,29,52.0029
5605,29,52.0028
5623,28,52.0028
5643,28,52.0027
5661,27,52.0027
5681,27,52.0028
5699,28,52.0028
5719,28,52.0029
5737,29,52.0029
5756,29,52.0028
5775,28,52.0028
5794,28,52.003
5813,30,52.0031
5832,31,52.0031
5852,31,52.003
5870,30,52.0027
5889,27,52.0026
5908,26,52.0028
5926,28,52.0026
5946,26,52.0024
5964,24,52.0023
5983,23,52.0028
6002,28,52.0028
6021,28,52.0028
6040,28,52.0027
6059,27,52.0021
6077,21,52.0021
6095,21,52.0021
6114,21,52.0021
6132,21,52.0022
6151,22,52.0022
6170,22,52.0027
6189,27,52.0032
6208,32,52.0031
6227,31,52.003
6246,30,52.0023
6264,23,52.0018
6283,18,52.0017
6301,17,52.0017
6320,17,52.0017
6337,17,52.0016
6355,16,52.0016
6374,16,52.0015
6392,15,52.0017
6411,17,52.0017
6428,17,52.0015
6447,15,52.0014
6465,14,122.0014
6482,14,122.0013
6501,13,122.0012
6519,12,122.0012
6537,12,122.0012
6555,12,122.0017
6574,17,52.0025
6593,25,52.0022
6610,22,52.0012
6629,12,122.001
6646,10,122.009
6665,9,122.007
6682,7,122.008
6700,8,122.009
6717,9,122.007
6735,7,122.006
6753,6,122.005
6770,5,122.004
6788,4,122.004
6805,4,122.006
6822,6,122.008
6840,8,122.006
6857,6,122.004
6876,4,122.004
6893,4,122.004
6910,4,122.005
6928,5,122.004
6945,4,122.004
6963,4,122.004
6980,4,122.007
6998,7,122.007
7015,7,122.004
7032,4,122.005
7051,5,122.007
7068,7,122.007
7086,7,122.005
7103,5,122.006
7120,6,122.008
7139,8,122.008
7156,8,122.008
7174,8,122.009
7192,9,122.009
7209,9,122.0019
7229,19,52.0029
7247,29,52.0026
7266,26,52.0017
7284,17,52.001
7302,10,122.0011
7320,11,122.0012
7339,12,122.0022
7357,22,52.0031
7376,31,52.003
7395,30,52.003
7414,30,52.0021
7433,21,52.0013
7451,13,122.0015
7469,15,122.0014
7487,14,122.0013
7505,13,122.0012
7523,12,122.0013
7541,13,122.0018
7560,18,52.0018
7578,18,52.0014
7596,14,122.0015
7614,15,122.0014
7632,14,122.0016
7651,16,52.0016
7669,16,52.0014
7687,14,122.0015
7705,15,122.0015
7724,15,122.0015
7742,15,122.0018
7760,18,52.0018
7778,18,52.0017
7796,17,52.0026
7816,26,52.0033
7835,33,52.0026
7854,26,52.0019
7872,19,52.002
7890,20,52.002
7909,20,52.0021
7927,21,52.0021
7946,21,52.0022
7964,22,52.0022
7984,22,52.0022
8002,22,52.0024
8020,24,52.0027
8040,27,52.0029
8058,29,52.0028
8078,28,52.0026
8096,26,52.0027
8115,27,52.0027
8134,27,52.0029
8154,29,52.0029
8172,29,52.0029
8192,29,52.003
8210,30,52.003
8229,30,52.0029
8248,29,52.003
8267,30,52.0032
8287,32,52.0032
8305,32,52.003
8325,30,52.0029
8343,29,52.0029
8363,29,52.0029
8382,29,52.003
8400,30,52.003
8420,30,52.0029
8438,29,52.0029
8458,29,52.0029
8476,29,52.0029
8496,29,52.0028
8514,28,52.0027
8534,27,52.0026
8552,26,52.0028
8571,28,52.0031
8590,31,52.003
8609,30,52.0028
8628,28,52.0028
8647,28,52.003
8667,30,52.0033
8685,33,52.0028
8705,28,52.0022
8723,22,52.0021
8741,21,52.0021
8760,21,52.0021
8778,21,52.0021
8797,21,52.0021
8815,21,52.0026
8835,26,52.0032
8853,32,52.0028
8872,28,52.0021
8891,21,52.0017
8908,17,52.0016
8927,16,52.0016
8945,16,52.0016
8964,16,52.0016
8982,16,52.0016
8999,16,52.0016
9018,16,52.0015
9036,15,52.0014
9054,14,122.0013
9072,13,122.0013
9091,13,122.0015
9109,15,122.0025
9127,25,52.0022
9146,22,52.0021
9165,21,52.0023
9183,23,52.0013
9201,13,122.009
9219,9,122.009
9237,9,122.001
9254,10,122.009
9272,9,122.008
9290,8,122.008
9308,8,122.006
9325,6,122.006
9342,6,122.008
9360,8,122.005
9377,5,122.003
9395,3,122.004
9412,4,122.006
9431,6,122.008
9448,8,122.008
9465,8,122.008
9484,8,122.001
9501,10,122.009
9519,9,122.007
9537,7,122.007
9554,7,122.008
9572,8,122.009
9590,9,122.009
9608,9,122.008
9625,8,122.008
9643,8,122.0015
9661,15,122.0016
9679,16,52.008
9697,8,122.009
9715,9,122.0021
9734,21,52.0022
9752,22,52.0013
9771,13,122.0014
9788,14,122.0024
9807,24,52.0031
9827,31,52.0024
9845,24,52.0015
9863,15,52.0013
9881,13,122.0013
9900,13,122.0012
9917,12,122.0012
9935,12,122.0013
9954,13,122.0014
9971,14,122.0014
9990,14,122.0013
10008,13,122.0014
10025,14,122.0015
10044,15,122.0014
10062,14,122.0015
10081,15,122.0017
10099,17,52.0017
10118,17,52.0016
10135,16,52.0016
10153,16,52.0025
10173,25,52.0032
10192,32,52.0032
10212,32,52.0026
10230,26,52.002
10249,20,52.0021
10267,21,52.0021
10286,21,52.0023
10304,23,52.0028
10323,28,52.0027
10342,27,52.0023
10361,23,52.0028
10380,28,52.0029
10399,29,52.0027
10418,27,52.0026
10437,26,52.0027
10456,27,52.0029
10475,29,52.0031
10494,31,52.0032
10513,32,52.003
10532,30,52.0029
10551,29,52.0031
10570,31,52.0032
10590,32,52.003
10609,30,52.0029
10628,29,52.0029
10647,29,52.0029
10665,29,52.0029
10685,29,52.0028
10703,28,52.0028
10723,28,52.0031
10742,31,52.003
10761,30,52.0027
10780,27,52.0026
10799,26,52.0028
10818,28,52.003
10836,30,52.0031
10856,31,52.003
10875,30,52.0027
10894,27,52.0025
10912,25,52.0025
10932,25,52.0024
10950,24,52.0022
10969,22,52.0022
10987,22,52.0027
11006,27,52.0028
11025,28,52.0022
11043,22,52.0021
11062,21,52.0022
11081,22,52.0021
11100,21,52.0027
11119,27,52.0033
11138,33,52.0029
11157,29,52.0021
11175,21,52.0016
11193,16,52.0016
11211,16,52.0015
11230,15,52.0015
11248,15,52.0015
11267,15,52.0015
11284,15,52.0015
11302,15,52.0014
11321,14,122.0013
11338,13,122.0013
11357,13,122.0014
11375,14,122.0013
11393,13,122.0015
11411,15,122.0019
11430,19,52.0025
11449,25,52.002
11467,20,52.0011
11485,11,122.001
11503,10,122.009
11521,9,122.008
11539,8,122.008
11556,8,122.008
11574,8,122.006
11591,6,122.005
11609,5,122.005
11626,5,122.006
11644,6,122.005
11662,5,122.003
11679,3,122.007
11697,7,122.007
11714,7,122.003
11731,3,122.004
11749,4,122.005
11767,5,122.005
11785,5,122.005
11802,5,122.006
11820,6,122.008
11837,8,122.008
11855,8,122.007
11873,7,122.006
11890,6,122.007
11909,7,122.009
11926,9,122.009
11943,9,122.008
11962,8,122.0018
11980,18,52.0027
12000,27,52.0017
12017,17,52.0011
