time,distance,angle
5015,24,99.0024
5033,24,55.0025
5053,25,54.0024
5071,24,58.0023
5090,23,61.0024
5108,24,57.0025
5128,25,54.0025
5146,25,54.0025
5165,25,54.0026
5184,26,52.0024
5202,24,58.0023
5221,23,61.0023
5239,23,60.0023
5258,23,60.0024
5277,24,57.0025
5296,25,54.0023
5314,23,61.0022
5332,22,64.0024
5352,24,57.0024
5370,24,57.0022
5389,22,64.0023
5407,23,60.0023
5426,23,60.0022
5444,22,64.0024
5464,24,57.0024
5482,24,57.0024
5500,24,57.0023
5519,23,61.0021
5538,21,67.0021
5557,21,66.0022
5575,22,63.0023
5594,23,60.0025
5612,25,54.0024
5632,24,58.0021
5650,21,67.0021
5668,21,66.0021
5687,21,66.002
5705,20,70.002
5724,20,69.002
5742,20,69.002
5761,20,69.0021
5779,21,66.002
5797,20,70.002
5816,20,69.002
5834,20,69.002
5853,20,69.002
5871,20,69.0019
5890,19,73.0019
5908,19,72.0018
5926,18,76.0018
5945,18,75.0019
5963,19,72.0019
5982,19,72.0018
6000,18,76.002
6019,20,69.0022
6037,22,63.002
6055,20,70.0019
6074,19,73.0019
6092,19,72.0018
6111,18,76.0018
6129,18,75.0018
6148,18,75.0017
6165,17,79.0019
6184,19,72.0021
6203,21,66.0019
6220,19,73.0018
6239,18,76.0018
6257,18,75.0017
6276,17,79.0017
6294,17,78.0017
6312,17,78.0016
6331,16,82.0018
6349,18,75.0018
6367,18,75.0017
6385,17,79.0018
6404,18,75.002
6422,20,69.0021
6441,21,66.0022
6460,22,63.0019
6477,19,73.0016
6496,16,82.0016
6514,16,81.0016
6533,16,81.0017
6551,17,78.0017
6569,17,78.0018
6588,18,75.0018
6605,18,75.0016
6624,16,82.0024
6643,24,56.0024
6662,24,57.0016
6679,16,83.0017
6697,17,78.0017
6716,17,78.0017
6734,17,78.0019
6753,19,72.0017
6771,17,79.0015
6790,15,85.0014
6807,14,92.0016
6825,16,81.0016
6844,16,81.0015
6862,15,85.0015
6880,15,84.0023
6899,23,59.0023
6918,23,60.0014
6935,14,94.0014
6953,14,93.0015
6972,15,89.0023
6990,23,59.003
7010,30,52.0029
7029,29,52.002
7047,20,71.0012
7065,12,100.0012
7083,12,99.0011
7101,11,102.001
7118,10,105.001
7137,10,105.0011
7154,11,101.0011
7173,11,102.009
7190,9,108.008
7208,8,111.009
7226,9,107.001
7244,10,104.009
7262,9,108.009
7279,9,108.008
7297,8,111.007
7315,7,114.008
7332,8,110.008
7350,8,111.007
7367,7,114.005
7385,5,120.006
7403,6,116.006
7420,6,117.008
7438,8,110.009
7455,9,107.005
7473,5,120.004
7490,4,122.005
7508,5,119.007
7526,7,113.007
7543,7,114.006
7561,6,117.003
7578,3,122.003
7596,3,122.004
7613,4,122.005
7631,5,119.005
7649,5,120.006
7666,6,116.007
7684,7,113.005
7701,5,120.003
7718,3,122.003
7736,3,122.003
7753,3,122.003
7771,3,122.002
7788,-30,122.003
7805,3,118.005
7823,5,119.007
7840,7,113.007
7859,7,114.006
7876,6,117.005
7894,5,120.004
7911,4,122.003
7928,3,122.006
7946,6,116.007
7963,7,113.004
7981,4,122.005
7998,5,119.006
8016,6,116.007
8034,7,113.005
8051,5,120.005
8069,5,120.006
8086,6,116.007
8104,7,113.008
8122,8,110.007
8139,7,114.007
8157,7,114.008
8175,8,110.009
8193,9,107.008
8210,8,111.006
8227,6,117.008
8246,8,110.009
8263,9,107.009
8282,9,108.001
8299,10,104.001
8316,10,105.009
8335,9,108.008
8352,8,111.009
8370,9,107.0011
8388,11,101.0011
8407,11,102.001
8424,10,105.0011
8442,11,101.0012
8460,12,98.0013
8478,13,95.0022
8498,22,62.003
8516,30,52.0023
8535,23,62.0015
8553,15,86.0021
8571,21,65.0022
8590,22,63.0014
8608,14,94.0015
8626,15,89.0015
8644,15,89.0014
8663,14,93.0015
8681,15,89.0015
8698,15,90.0016
8717,16,82.0016
8735,16,81.0015
8754,15,85.0016
8771,16,81.0016
8790,16,81.0018
8808,18,75.0018
8826,18,75.0018
8845,18,75.0021
8863,21,66.0019
8882,19,73.0019
8900,19,72.0019
8919,19,72.0018
8937,18,76.0018
8955,18,75.0017
8973,17,79.0017
8991,17,78.0017
9010,17,78.0018
9028,18,75.0018
9047,18,75.0018
9065,18,75.0018
9083,18,75.0018
9102,18,75.0019
9120,19,72.0021
9139,21,66.0022
9157,22,63.002
9176,20,70.0019
9194,19,73.002
9212,20,69.002
9231,20,69.0021
9249,21,66.0022
9268,22,63.0024
9287,24,57.0023
9306,23,61.0022
9324,22,64.0023
9342,23,60.0023
9361,23,60.0022
9379,22,64.0022
9399,22,63.0023
9417,23,60.0024
9436,24,57.0024
9454,24,57.0024
9474,24,57.0024
9492,24,57.0023
9510,23,61.0023
9529,23,60.0024
9548,24,57.0025
9567,25,54.0025
9585,25,54.0025
9605,25,54.0025
9623,25,54.0027
9641,27,52.0026
9661,26,52.0024
9679,24,58.0024
9698,24,57.0026
9716,26,52.0027
9736,27,52.0025
9754,25,55.0025
9774,25,54.0025
9792,25,54.0025
9810,25,54.0024
9829,24,58.0024
9848,24,57.0025
9867,25,54.0026
9885,26,52.0026
9905,26,52.0024
9923,24,58.0022
9942,22,64.0022
9960,22,63.0023
