time,distance,angle
5015,23,102.0023
5033,23,58.0023
5052,23,60.0022
5071,22,64.0022
5090,22,63.0023
5108,23,60.0023
5127,23,60.0023
5145,23,60.0023
5164,23,60.0023
5183,23,60.0023
5201,23,60.0023
5220,23,60.0023
5238,23,60.0022
5257,22,64.0024
5276,24,57.0025
5295,25,54.0023
5313,23,61.0023
5331,23,60.0024
5351,24,57.0024
5369,24,57.0024
5388,24,57.0023
5406,23,61.0025
5426,25,54.0024
5444,24,58.0022
5463,22,64.0023
5481,23,60.0023
5499,23,60.0022
5518,22,64.0022
5537,22,63.0021
5556,21,67.0022
5574,22,63.0024
5593,24,57.0023
5611,23,61.0021
5629,21,67.0021
5648,21,66.0021
5667,21,66.0021
5686,21,66.0021
5704,21,66.002
5723,20,70.002
5741,20,69.0021
5760,21,66.0021
5778,21,66.002
5796,20,70.002
5815,20,69.002
5833,20,69.002
5852,20,69.002
5870,20,69.0019
5889,19,73.0018
5907,18,76.0019
5925,19,72.0019
5944,19,72.0017
5961,17,79.0018
5980,18,75.0019
5998,19,72.0019
6017,19,72.0019
6035,19,72.0019
6053,19,72.0019
6072,19,72.0026
6091,26,52.0027
6110,27,52.0019
6128,19,74.0017
6147,17,79.0017
6165,17,78.0017
6183,17,78.0018
6202,18,75.0017
6219,17,79.0017
6238,17,78.0018
6256,18,75.0017
6275,17,79.0016
6293,16,82.0019
6311,19,72.002
6330,20,69.0017
6348,17,79.0024
6367,24,56.0024
6385,24,57.0016
6404,16,83.0017
6422,17,78.0017
6440,17,78.0015
6458,15,85.0015
6476,15,84.0016
6495,16,81.0015
6513,15,85.0015
6531,15,84.0015
6549,15,84.0016
6567,16,81.0016
6585,16,81.0014
6603,14,92.0013
6622,13,96.0013
6639,13,96.0014
6658,14,92.0021
6677,21,65.0022
6694,22,63.0023
6714,23,60.0025
6732,25,54.0024
6752,24,58.0023
6769,23,61.0023
6789,23,60.0021
6807,21,67.0013
6824,13,97.0013
6843,13,96.0012
6860,12,99.0011
6879,11,102.001
6896,10,105.001
6915,10,105.001
6932,10,105.001
6950,10,105.009
6968,9,108.009
6986,9,108.009
7004,9,108.009
7021,9,108.009
7040,9,108.009
7057,9,108.009
7074,9,108.009
7093,9,108.009
7110,9,108.007
7128,7,114.008
7145,8,110.007
7163,7,114.007
7181,7,114.001
7198,10,104.001
7217,10,105.007
7234,7,114.006
7251,6,117.008
7269,8,110.007
7287,7,114.006
7305,6,117.005
7322,5,120.007
7340,7,113.008
7358,8,110.006
7375,6,117.004
7393,4,122.004
7410,4,122.005
7428,5,119.005
7445,5,120.006
7462,6,116.007
7481,7,113.006
7498,6,117.005
7516,5,120.007
7533,7,113.008
7550,8,110.006
7569,6,117.005
7586,5,120.006
7604,6,116.006
7621,6,117.005
7639,5,120.006
7656,6,116.006
7673,6,117.005
7692,5,120.008
7709,8,110.009
7727,9,107.007
7745,7,114.009
7762,9,107.009
7780,9,108.009
7798,9,108.009
7816,9,108.008
7833,8,111.008
7851,8,111.008
