time,distance,angle
5015,29,87.0029
5035,29,52.0029
5053,29,52.003
5072,30,52.003
5092,30,52.003
5110,30,52.003
5130,30,52.003
5148,30,52.003
5168,30,52.003
5186,30,52.003
5206,30,52.003
5225,30,52.003
5243,30,52.003
5263,30,52.003
5281,30,52.003
5301,30,52.003
5319,30,52.003
5339,30,52.003
5357,30,52.003
5377,30,52.003
5396,30,52.0029
5414,29,52.0029
5434,29,52.003
5452,30,52.0029
5472,29,52.0029
5490,29,52.0029
5510,29,52.0029
5528,29,52.0029
5548,29,52.0031
5567,31,52.0032
5585,32,52.0031
5605,31,52.0029
5623,29,52.0029
5643,29,52.0029
5662,29,52.0031
5681,31,52.0031
5700,31,52.003
5719,30,52.0029
5738,29,52.0029
5757,29,52.003
5776,30,52.003
5795,30,52.0028
5814,28,52.0027
5833,27,52.0028
5852,28,52.0029
5871,29,52.0028
5890,28,52.0027
5909,27,52.0028
5927,28,52.0029
5947,29,52.0031
5966,31,52.0032
5985,32,52.003
6004,30,52.0031
6024,31,52.0031
6042,31,52.0029
6062,29,52.003
6080,30,52.0031
6099,31,52.0028
6118,28,52.0025
6137,25,52.0024
6156,24,52.0023
6174,23,52.0022
6193,22,52.0028
6212,28,52.0028
6231,28,52.0022
6249,22,52.0023
6268,23,52.0028
6287,28,52.0027
6306,27,52.0022
6325,22,52.0021
6343,21,52.0021
6362,21,52.0021
6380,21,52.0026
6400,26,52.0032
6418,32,52.0031
6437,31,52.0032
6457,32,52.0033
6476,33,52.0026
6494,26,52.0017
6512,17,79.0018
6531,18,69.0018
6549,18,69.0017
6567,17,76.0017
6586,17,75.0014
6603,14,94.0014
6622,14,93.0014
6640,14,93.0014
6658,14,93.0014
6676,14,93.0013
6694,13,99.0012
6712,12,105.0013
6730,13,98.0013
6748,13,99.0011
6766,11,111.0021
6786,21,52.0032
6804,32,52.0023
6822,23,52.0014
6841,14,96.0011
6858,11,112.0011
6877,11,111.0017
6895,17,73.0027
6915,27,52.0033
6934,33,52.0022
6951,22,52.009
6970,9,122.008
6987,8,122.008
7005,8,122.006
7022,6,122.005
7040,5,122.009
7058,9,121.008
7075,8,122.004
7093,4,122.004
7110,4,122.003
7128,3,122.007
7145,7,122.007
7162,7,122.006
7181,6,122.008
7198,8,122.006
7216,6,122.007
7234,7,122.008
7251,8,122.004
7269,4,122.006
7286,6,122.006
7304,6,122.004
7321,4,122.004
7339,4,122.004
7356,4,122.004
7373,4,122.009
7392,9,121.009
7409,9,122.005
7427,5,122.005
7444,5,122.008
7461,8,122.008
7480,8,122.005
7497,5,122.007
7515,7,122.007
7532,7,122.006
7549,6,122.007
7568,7,122.007
7585,7,122.008
7603,8,122.009
7621,9,122.001
7639,10,116.001
7657,10,117.0022
7676,22,52.003
7695,30,52.0018
7712,18,74.0011
7731,11,113.0012
7749,12,104.0012
7767,12,105.0011
7785,11,111.0012
7803,12,104.0014
7821,14,92.0014
7839,14,93.0015
7858,15,87.0026
7877,26,52.0023
7895,23,52.0025
7914,25,52.0025
7932,25,52.001
7950,10,122.0012
7968,12,104.0013
7987,13,98.0013
8004,13,99.0013
8023,13,99.0012
8040,12,105.0012
8058,12,105.0013
8077,13,98.0013
8094,13,99.0013
8113,13,99.0013
8130,13,99.0012
8148,12,105.0012
8167,12,105.0017
8185,17,74.0018
8203,18,69.0014
8221,14,94.0014
8240,14,93.0014
8257,14,93.0015
8275,15,87.0015
8294,15,87.0018
8312,18,68.0018
8331,18,69.0016
8348,16,82.0017
8367,17,75.0021
8386,21,52.0029
8404,29,52.0034
8424,34,52.0033
8443,33,52.0032
8463,32,52.0026
8481,26,52.0021
8500,21,53.0022
8518,22,52.0022
8537,22,52.0021
8555,21,52.0022
8573,22,52.0028
8593,28,52.0027
8611,27,52.0022
8631,22,52.0028
8649,28,52.0033
8669,33,52.0033
8688,33,52.0028
8707,28,52.0023
8725,23,52.0023
8744,23,52.0024
8763,24,52.0024
8781,24,52.0028
8801,28,52.0028
8819,28,52.0024
8838,24,52.0026
8857,26,52.0025
8876,25,52.0023
8894,23,52.0023
8912,23,52.0024
8932,24,52.0024
8950,24,52.0025
8969,25,52.0024
8988,24,52.0024
9007,24,52.0023
9025,23,52.0023
9043,23,52.0027
9063,27,52.0028
9081,28,52.0024
9100,24,52.0028
9119,28,52.0028
9138,28,52.0027
9157,27,52.0026
9176,26,52.0023
9195,23,52.0029
9213,29,52.0027
9232,27,52.0022
9251,22,52.0023
9270,23,52.0022
9288,22,52.0022
9307,22,52.0022
9325,22,52.0022
9344,22,52.0022
9362,22,52.0021
9380,21,52.0022
9400,22,52.0021
9418,21,52.0021
9437,21,52.0022
9455,22,52.0021
9474,21,52.0027
9493,27,52.0033
9512,33,52.0032
9531,32,52.0032
9550,32,52.0032
9570,32,52.0024
9587,24,52.0016
9606,16,84.0016
9624,16,81.0018
9643,18,69.0017
9661,17,76.0015
9679,15,87.0015
9697,15,87.0015
9715,15,87.0015
9734,15,87.0014
9751,14,93.0014
9769,14,93.0014
9788,14,93.0015
9805,15,87.0015
9824,15,87.0012
9841,12,106.001
9860,10,117.0013
9878,13,97.0014
9895,14,92.0024
9915,24,52.0026
9933,26,52.0016
9952,16,85.0015
9970,15,87.0012
9988,12,106.0011
10006,11,111.002
10024,20,54.0032
10044,32,52.0023
10062,23,52.009
10080,9,122.008
10097,8,122.001
10116,10,116.001
10133,10,117.009
10151,9,122.007
10169,7,122.006
10186,6,122.007
10205,7,122.005
10222,5,122.003
10240,3,122.006
10257,6,122.006
10274,6,122.003
10292,3,122.004
10309,4,122.005
10327,5,122.005
10344,5,122.006
10362,6,122.006
10380,6,122.004
10397,4,122.004
10415,4,122.006
10432,6,122.007
10449,7,122.008
10468,8,122.007
10485,7,122.005
10503,5,122.007
10521,7,122.008
10539,8,122.008
10556,8,122.001
10574,10,116.007
10592,7,122.008
10609,8,122.001
10628,10,116.009
10645,9,122.009
10663,9,122.001
10681,10,116.001
10699,10,117.0021
10719,21,52.0021
10736,21,52.0013
10755,13,101.0013
10773,13,99.001
10790,10,118.001
10809,10,117.0012
10826,12,104.0013
10845,13,98.0013
10863,13,99.0015
10882,15,87.0022
10900,22,52.0031
10919,31,52.0022
10938,22,52.0014
10955,14,96.0014
10974,14,93.0011
10992,11,112.0012
11010,12,104.0013
11028,13,98.0014
11046,14,92.0014
11064,14,93.0012
11082,12,105.0013
11101,13,98.0013
11118,13,99.0012
11137,12,105.0014
11155,14,92.0014
11173,14,93.0014
11191,14,93.0015
11209,15,87.0014
11228,14,93.0014
11246,14,93.0015
11264,15,87.0014
11282,14,93.0015
11300,15,87.0017
11319,17,75.0017
11337,17,75.0016
11355,16,82.0017
11374,17,75.0019
11393,19,63.0026
11411,26,52.0031
11430,31,52.003
11450,30,52.0032
11469,32,52.0026
11488,26,52.002
11506,20,60.0022
11525,22,52.0022
11543,22,52.0021
11561,21,52.0022
11580,22,52.0023
11599,23,52.0023
11618,23,52.0022
11636,22,52.0022
11655,22,52.0022
11673,22,52.0027
11693,27,52.0033
11712,33,52.0028
11730,28,52.0028
11750,28,52.0027
11768,27,52.0027
11788,27,52.0033
11807,33,52.0028
11826,28,52.0023
11844,23,52.0023
11863,23,52.0023
11882,23,52.0028
11900,28,52.0029
11920,29,52.0023
11938,23,52.0027
11958,27,52.0027
11976,27,52.0027
