time,distance,angle
5015,23,122.0023
5033,23,52.0024
5052,24,52.0022
5071,22,52.0022
5090,22,52.0023
5108,23,52.0021
5127,21,52.0022
5145,22,52.0023
5164,23,52.0024
5183,24,52.0025
5201,25,52.0025
5220,25,52.0025
5239,25,52.0025
5258,25,52.0023
5276,23,52.0023
5295,23,52.0024
5314,24,52.0024
5332,24,52.0023
5351,23,52.0023
5369,23,52.0022
5388,22,52.0022
5407,22,52.0024
5426,24,52.0025
5444,25,52.0024
5463,24,52.0024
5482,24,52.0024
5500,24,52.0023
5519,23,52.0025
5537,25,52.0029
5557,29,52.0032
5576,32,52.0032
5596,32,52.0033
5614,33,52.0028
5634,28,52.0022
5652,22,52.0027
5671,27,52.0027
5690,27,52.0022
5708,22,52.0021
5727,21,52.0021
5745,21,52.0022
5764,22,52.0021
5782,21,52.002
5800,20,52.002
5819,20,52.0026
5838,26,52.0032
5858,32,52.0032
5876,32,52.0031
5896,31,52.0025
5914,25,52.002
5933,20,52.002
5951,20,52.0018
5969,18,52.0016
5988,16,52.0018
6006,18,52.0018
6024,18,52.0015
6042,15,52.0014
6061,14,122.0014
6079,14,122.0015
6096,15,122.0015
6115,15,122.0014
6133,14,122.0015
6152,15,122.0014
6169,14,122.0012
6188,12,122.0012
6205,12,122.0012
6223,12,122.0013
6242,13,122.0014
6259,14,122.0013
6278,13,122.0011
6296,11,122.0019
6315,19,52.0022
6333,22,52.0013
6350,13,122.0012
6369,12,122.0022
6388,22,52.0031
6407,31,52.0019
6425,19,52.009
6443,9,122.009
6461,9,122.0011
6478,11,122.0012
6497,12,122.009
6514,9,122.008
6532,8,122.008
6549,8,122.006
6567,6,122.008
6585,8,122.008
6602,8,122.008
6621,8,122.009
6638,9,122.007
6656,7,122.007
6673,7,122.008
6691,8,122.007
6709,7,122.006
6726,6,122.007
6744,7,122.005
6761,5,122.007
6779,7,122.001
6797,10,122.001
6815,10,122.007
6833,7,122.004
6850,4,122.005
6867,5,122.005
6885,5,122.005
6902,5,122.005
6920,5,122.004
6937,4,122.005
6955,5,122.005
6972,5,122.004
6990,4,122.006
7008,6,122.006
7025,6,122.005
7043,5,122.006
7060,6,122.007
7078,7,122.009
7096,9,122.009
7113,9,122.009
7132,9,122.001
7149,10,122.009
7166,9,122.0018
7186,18,52.0018
7203,18,52.009
7222,9,122.0011
7239,11,122.0012
7258,12,122.0012
7275,12,122.0022
7294,22,52.0033
7314,33,52.0037
7333,-30,122.0029
7352,29,52.0016
7370,16,52.0014
7388,14,122.0014
7406,14,122.0014
7425,14,122.0017
7443,17,52.0017
7461,17,52.0013
7479,13,122.0013
7497,13,122.0014
7516,14,122.0015
7533,15,122.0015
7552,15,122.0015
7570,15,122.0015
7588,15,122.0016
7606,16,52.0016
7624,16,52.0019
7643,19,52.002
7661,20,52.0025
7681,25,52.0032
7700,32,52.0033
7718,33,52.0027
7737,27,52.002
7755,20,52.0021
7775,21,52.0022
7793,22,52.0022
7812,22,52.0022
7830,22,52.0025
7848,25,52.0025
7868,25,52.0027
7886,27,52.0029
7906,29,52.0028
7924,28,52.0027
7944,27,52.0027
7962,27,52.0028
7982,28,52.0029
8000,29,52.0029
8019,29,52.0031
8038,31,52.0031
8057,31,52.0029
8076,29,52.003
8095,30,52.0032
8115,32,52.0032
8134,32,52.003
8153,30,52.0029
8172,29,52.0029
8190,29,52.0031
8210,31,52.0031
8229,31,52.003
8248,30,52.003
8267,30,52.0029
8286,29,52.0028
8305,28,52.0027
8324,27,52.0028
8343,28,52.003
8361,30,52.0031
8381,31,52.0029
8399,29,52.0026
8419,26,52.0025
8437,25,52.0028
8457,28,52.0027
8475,27,52.0022
8494,22,52.0022
8512,22,52.0022
8530,22,52.0023
8550,23,52.0026
8568,26,52.0031
8588,31,52.0032
8607,32,52.0024
8625,24,52.0017
8643,17,52.0016
8662,16,52.0016
8680,16,52.0016
8698,16,52.0016
8716,16,52.0016
8734,16,52.0016
8753,16,52.0016
8771,16,52.0015
8788,15,52.0014
8807,14,122.0013
8824,13,122.0013
8843,13,122.0012
8861,12,122.0012
8879,12,122.0024
8898,24,52.0024
8916,24,52.0011
8934,11,122.0023
8953,23,52.0027
8972,27,52.0015
8990,15,52.008
9008,8,122.007
9025,7,122.006
9042,6,122.005
9060,5,122.007
9078,7,122.008
9096,8,122.005
9113,5,122.003
9131,3,122.003
9148,3,122.003
9165,3,122.003
9183,3,122.004
9200,4,122.005
9218,5,122.006
9235,6,122.005
9252,5,122.005
9271,5,122.005
9287,5,122.003
9305,3,122.004
9323,4,122.005
9340,5,122.004
9358,4,122.004
9375,4,122.005
9393,5,122.007
9410,7,122.006
9427,6,122.008
9446,8,122.008
9463,8,122.006
9481,6,122.006
9498,6,122.007
9516,7,122.008
9534,8,122.009
9551,9,122.001
9569,10,122.001
9587,10,122.0019
9607,19,52.0029
9625,29,52.002
9644,20,52.0012
9661,12,122.0013
9679,13,122.0023
9699,23,52.0031
9717,31,52.0033
9737,33,52.0027
9755,27,52.0015
9774,15,52.0013
9791,13,122.0013
9809,13,122.0012
9828,12,122.0014
9845,14,122.0015
9864,15,122.0013
9882,13,122.0012
9900,12,122.0014
9918,14,122.0015
9936,15,122.0015
9955,15,122.0015
9973,15,122.0017
9992,17,52.0017
10009,17,52.0016
10028,16,52.0019
10046,19,52.0023
10065,23,52.0029
10084,29,52.0033
10103,33,52.0033
10123,33,52.0027
10141,27,52.002
10160,20,52.0021
10178,21,52.0023
10198,23,52.0023
10216,23,52.0023
10234,23,52.0025
10254,25,52.0027
10272,27,52.0027
10291,27,52.0026
10310,26,52.0026
10329,26,52.0028
10348,28,52.0029
10366,29,52.0028
10386,28,52.0029
10405,29,52.003
10424,30,52.003
10443,30,52.0029
10462,29,52.003
10481,30,52.0031
10501,31,52.0031
10519,31,52.003
10539,30,52.0029
10558,29,52.0029
10576,29,52.0031
10596,31,52.0031
10615,31,52.0031
10634,31,52.003
10653,30,52.0029
10673,29,52.0028
10691,28,52.0026
10710,26,52.0027
10729,27,52.0029
10748,29,52.0029
10767,29,52.0027
10785,27,52.0024
10805,24,52.0023
10823,23,52.0024
10842,24,52.0029
10861,29,52.0027
10880,27,52.0022
10898,22,52.0022
10917,22,52.0022
10936,22,52.0022
10954,22,52.0027
10974,27,52.0033
10993,33,52.0026
11012,26,52.0019
11030,19,52.0019
11048,19,52.0021
11067,21,52.0018
11085,18,52.0015
11103,15,52.0015
11121,15,52.0015
11140,15,52.0014
11157,14,122.0016
11175,16,52.0016
11194,16,52.0014
11212,14,122.0014
11231,14,122.0015
11248,15,122.0023
11268,23,52.0031
11287,31,52.0023
11305,23,52.0012
11323,12,122.001
11341,10,122.001
11359,10,122.008
11376,8,122.008
11395,8,122.007
11412,7,122.007
11429,7,122.009
11448,9,122.001
11465,10,122.008
11483,8,122.005
11500,5,122.005
11518,5,122.007
11536,7,122.007
11553,7,122.008
11572,8,122.007
11589,7,122.007
11607,7,122.006
11624,6,122.004
11641,4,122.006
11660,6,122.008
11677,8,122.007
11695,7,122.007
11713,7,122.008
11730,8,122.007
11748,7,122.008
11765,8,122.009
11784,9,122.001
11801,10,122.0018
11821,18,52.0026
11839,26,52.0018
11857,18,52.001
11875,10,122.0011
11893,11,122.0022
11913,22,52.0027
11931,27,52.0016
11949,16,52.0012
11967,12,122.0013
11985,13,122.0013
12003,13,122.0014
12021,14,122.0013
12040,13,122.0014
12058,14,122.0017
12077,17,52.0017
12095,17,52.0015
12112,15,52.0015
12131,15,52.0015
12149,15,52.0015
12168,15,52.0016
12185,16,52.0016
12204,16,52.0017
12222,17,52.0017
12240,17,52.0025
12260,25,52.0033
12279,33,52.0033
12298,33,52.0033
12317,33,52.0027
12336,27,52.0021
12354,21,52.0021
12374,21,52.0021
12392,21,52.0023
12410,23,52.0024
12429,24,52.0027
12448,27,52.0031
12468,31,52.003
12486,30,52.0027
12506,27,52.0027
12524,27,52.0028
12544,28,52.0029
12562,29,52.0029
12581,29,52.0029
12601,29,52.003
12619,30,52.0032
12639,32,52.0032
12658,32,52.003
12677,30,52.0028
12696,28,52.0029
12716,29,52.0031
12734,31,52.0031
12753,31,52.0031
12773,31,52.0031
12791,31,52.0029
12811,29,52.0028
12829,28,52.0027
12849,27,52.0028
12867,28,52.0029
12887,29,52.0028
12905,28,52.0025
12924,25,52.0025
12943,25,52.0024
12961,24,52.0028
12981,28,52.0027
12999,27,52.0022
13019,22,52.0022
13037,22,52.0023
13056,23,52.0023
13074,23,52.0022
13092,22,52.0026
13112,26,52.0031
13131,31,52.0031
13150,31,52.0025
13168,25,52.002
13188,20,52.0019
13205,19,52.0016
13223,16,52.0017
13242,17,52.0017
13260,17,52.0015
13279,15,52.0015
13296,15,52.0014
13315,14,122.0016
13333,16,52.0015
13351,15,52.0014
13369,14,122.0014
13387,14,122.0012
13406,12,122.0022
13425,22,52.0023
13443,23,52.0015
13461,15,52.0012
13479,12,122.001
13497,10,122.0011
13515,11,122.0012
13533,12,122.009
13551,9,122.007
13569,7,122.006
13586,6,122.005
13603,5,122.005
13621,5,122.007
13639,7,122.005
13657,5,122.003
13674,3,122.005
13691,5,122.005
13709,5,122.0016
13728,16,52.0017
13746,17,52.006
13763,6,122.008
13782,8,122.007
13799,7,122.007
13816,7,122.007
13834,7,122.005
13851,5,122.008
13870,8,122.009
13887,9,122.009
13905,9,122.008
13923,8,122.007
13940,7,122.009
13959,9,122.0011
13976,11,122.0022
13996,22,52.002
14013,20,52.009
14031,9,122.0012
14050,12,122.0014
14067,14,122.0014
14086,14,122.0015
14104,15,122.0023
14124,23,52.0022
14141,22,52.0012
14159,12,122.0012
14177,12,122.0012
14195,12,122.0016
14214,16,52.0016
14232,16,52.0012
14249,12,122.0013
14268,13,122.0015
14286,15,122.0015
14305,15,122.0015
14323,15,122.0015
14341,15,122.0016
14359,16,52.002
14377,20,52.0021
14396,21,52.0026
14415,26,52.0033
14435,33,52.0033
14454,33,52.0026
14473,26,52.002
14491,20,52.0021
14510,21,52.0022
14528,22,52.0022
14547,22,52.0027
14566,27,52.0029
14585,29,52.0025
14604,25,52.0027
14623,27,52.0029
14642,29,52.0028
14661,28,52.0027
14680,27,52.0027
14699,27,52.0028
14717,28,52.0029
14737,29,52.0029
14756,29,52.0031
14775,31,52.0031
14794,31,52.0031
14814,31,52.0031
14832,31,52.0029
14852,29,52.0029
14871,29,52.0029
14889,29,52.0029
14909,29,52.0029
14927,29,52.0029
14947,29,52.0028
14965,28,52.0028
14985,28,52.0029
15003,29,52.0029
15023,29,52.0029
15041,29,52.0031
15060,31,52.0029
