time,distance,angle
5014,4,122.002
5031,4,122.002
5049,4,122.002
5066,4,122.002
5084,4,122.003
5101,3,122.004
5118,4,122.004
5136,4,122.003
5153,3,122.002
5171,5,122.005
5188,5,122.007
5206,7,122.004
5223,4,122.006
5241,6,122.007
5259,7,122.004
5276,4,122.007
5294,7,122.009
5311,9,122.007
5329,7,122.007
5347,7,122.008
5364,8,122.008
5382,8,122.008
5400,8,122.006
5417,6,122.004
5435,4,122.005
5452,5,122.007
5470,7,122.008
5488,8,122.007
5506,7,122.005
5523,5,122.0017
5541,17,71.0029
5561,29,52.0029
5579,29,52.0021
5598,21,54.0021
5617,21,52.002
5635,20,58.0019
5654,19,64.003
5672,30,52.0031
5692,31,52.0031
5711,31,52.002
5729,20,62.002
5748,20,57.0021
5766,21,52.0014
5784,14,95.0013
5801,13,99.0011
5820,11,111.0012
5838,12,104.0012
5856,12,105.0011
5874,11,111.0011
5892,11,111.0012
5910,12,104.0012
5928,12,105.0011
5946,11,111.0011
5964,11,111.0013
5982,13,98.0013
6000,13,99.0012
6019,12,105.0013
6036,13,98.0013
6054,13,99.0013
6072,13,99.0013
6090,13,99.0013
6109,13,99.0014
6126,14,92.0014
6145,14,93.0014
6163,14,93.0014
6180,14,93.0014
6199,14,93.0014
6217,14,93.0014
6235,14,93.0018
6253,18,68.0018
6272,18,69.0015
6290,15,88.0016
6308,16,81.0019
6327,19,62.0019
6345,19,63.0016
6363,16,83.0016
6381,16,81.0018
6400,18,69.0017
6418,17,76.0017
6436,17,75.002
6455,20,56.002
6473,20,57.0017
6492,17,77.0016
6509,16,82.0015
6528,15,87.0018
6546,18,68.0018
6564,18,69.0016
6583,16,82.0019
6601,19,62.0019
6620,19,63.0019
6638,19,63.0019
6657,19,63.0018
6675,18,70.002
6693,20,57.0022
6712,22,52.002
6730,20,58.0018
6749,18,70.0018
6767,18,69.0018
6786,18,69.0019
6803,19,63.0018
6821,18,70.0017
6840,17,76.0017
6858,17,75.0018
6877,18,69.0019
6895,19,63.0018
6914,18,70.0019
6932,19,63.0019
6950,19,63.0016
6968,16,83.0017
6986,17,75.0019
7005,19,63.0017
7023,17,76.0016
7042,16,82.0019
7060,19,62.0021
7078,21,52.0022
7097,22,52.0021
7115,21,52.0021
7135,21,52.0021
7153,21,52.0017
7171,17,77.0016
7189,16,82.0016
7207,16,81.0017
7226,17,75.0017
7244,17,75.0016
7262,16,82.0015
7280,15,87.0014
7299,14,93.0014
7317,14,93.0015
7334,15,87.0014
7353,14,93.0014
7371,14,93.0015
7389,15,87.0014
7407,14,93.0013
7426,13,99.0014
7443,14,92.0015
7461,15,87.0014
7480,14,93.0013
7497,13,99.0012
7516,12,105.0014
7534,14,92.0014
7552,14,93.0014
7570,14,93.0013
7588,13,99.0013
7606,13,99.0013
7624,13,99.0014
7643,14,92.0013
7660,13,99.0012
7678,12,105.0011
7696,11,111.0011
7714,11,111.0011
7732,11,111.0012
7750,12,104.0012
7769,12,105.0014
7786,14,92.0013
7804,13,99.0011
7822,11,111.0011
7840,11,111.0011
7859,11,111.0011
7876,11,111.0011
7895,11,111.0011
7912,11,111.0011
7930,11,111.0012
7948,12,104.0011
7966,11,111.0012
7984,12,104.0013
8002,13,98.0012
8019,12,105.0011
8038,11,111.0012
8056,12,104.0011
8074,11,111.001
8092,10,117.0011
8110,11,110.0012
8128,12,104.0013
8146,13,98.0012
8164,12,105.0011
8182,11,111.0011
8200,11,111.0011
8218,11,111.0012
8237,12,104.0012
8254,12,105.0012
8272,12,105.0013
8290,13,98.0012
8308,12,105.0013
8327,13,98.0013
8344,13,99.0013
8363,13,99.0013
8380,13,99.0013
8398,13,99.0013
8416,13,99.0012
8434,12,105.0014
8453,14,92.0013
8470,13,99.0013
8488,13,99.0014
8507,14,92.0013
8524,13,99.0013
8543,13,99.0012
8560,12,105.0013
8579,13,98.0013
8597,13,99.0012
8614,12,105.0013
8633,13,98.0014
8651,14,92.0013
8669,13,99.0013
8687,13,99.0014
8706,14,92.0014
8723,14,93.0013
8741,13,99.0013
8759,13,99.0013
8777,13,99.0013
8796,13,99.0014
8813,14,92.0013
8832,13,99.0013
8850,13,99.0013
8867,13,99.0013
8886,13,99.0013
8903,13,99.0013
8922,13,99.0012
8939,12,105.0013
8957,13,98.0013
8976,13,99.0013
8993,13,99.0015
9012,15,87.0015
9030,15,87.0013
9048,13,99.0014
9066,14,92.0015
9084,15,87.0013
9102,13,99.0013
9120,13,99.0014
9139,14,92.0014
9156,14,93.0014
9175,14,93.0015
9193,15,87.0015
9210,15,87.0015
9229,15,87.0014
9247,14,93.0017
9266,17,74.0017
9283,17,75.0017
9303,17,75.0018
9320,18,69.0015
9338,15,88.0015
9357,15,87.0015
9374,15,87.0015
9393,15,87.0015
9411,15,87.0015
9430,15,87.0016
9447,16,81.0016
9465,16,81.0016
9484,16,81.0015
9501,15,87.0017
9521,17,75.0017
9538,17,75.0014
9556,14,94.0014
9575,14,93.0014
9592,14,93.0014
9611,14,93.0015
9629,15,87.0016
9647,16,81.0016
9665,16,81.0015
9683,15,87.0015
9702,15,87.0015
9719,15,87.0015
9738,15,87.0015
9756,15,87.0015
9774,15,87.0015
9792,15,87.0016
9810,16,81.0016
9828,16,81.0015
9846,15,87.0015
9865,15,87.0015
9883,15,87.0018
9902,18,68.0018
9919,18,69.0015
9937,15,88.0014
9956,14,93.0014
9973,14,93.0015
9992,15,87.0015
10010,15,87.0014
10029,14,93.0015
10046,15,87.0016
10064,16,81.0015
10083,15,87.0015
10101,15,87.0015
10119,15,87.0016
10137,16,81.0016
10156,16,81.0015
10174,15,87.0015
10192,15,87.0015
10210,15,87.0015
10228,15,87.0014
10247,14,93.0013
10264,13,99.0014
10283,14,92.0015
10301,15,87.0015
10319,15,87.0015
10337,15,87.0015
10355,15,87.0015
10374,15,87.0014
10391,14,93.0013
10409,13,99.0013
10428,13,99.0014
10446,14,92.0014
10464,14,93.0013
10482,13,99.0014
10501,14,92.0015
10518,15,87.0015
10536,15,87.0015
10555,15,87.0015
10573,15,87.0015
10591,15,87.0015
10609,15,87.0014
10628,14,93.0014
10645,14,93.0018
10664,18,68.0023
10683,23,52.0023
10701,23,52.0023
10720,23,52.0019
10738,19,65.0015
10757,15,88.0014
10775,14,93.0015
10792,15,87.0017
10811,17,75.0017
10829,17,75.0016
10848,16,82.0015
10866,15,87.0014
10884,14,93.0018
10902,18,68.0018
10920,18,69.0015
10939,15,88.0015
10957,15,87.0015
10975,15,87.0015
10993,15,87.0015
11012,15,87.0015
11030,15,87.0014
11047,14,93.0013
11066,13,99.0013
11084,13,99.0014
11102,14,92.0015
11120,15,87.0015
11139,15,87.0015
11157,15,87.0015
11174,15,87.0015
11193,15,87.0015
11211,15,87.0015
11229,15,87.0015
11247,15,87.0015
11266,15,87.0015
11283,15,87.0015
11301,15,87.0015
11320,15,87.0015
11338,15,87.0014
11356,14,93.0014
11374,14,93.0014
11393,14,93.0015
11410,15,87.0015
11428,15,87.0015
11447,15,87.0015
11465,15,87.0015
11483,15,87.0015
11501,15,87.0015
11520,15,87.0015
11537,15,87.0015
11555,15,87.0015
11574,15,87.0015
11591,15,87.0015
11610,15,87.0015
11628,15,87.0015
11646,15,87.0015
11664,15,87.0015
11682,15,87.0015
11701,15,87.0015
11718,15,87.0015
11737,15,87.0014
11755,14,93.0014
11773,14,93.0015
11791,15,87.0015
11809,15,87.0015
11828,15,87.0015
11845,15,87.0015
11864,15,87.0015
11882,15,87.0015
11900,15,87.0015
11918,15,87.0014
11936,14,93.0014
11955,14,93.0014
11972,14,93.0015
11991,15,87.0015
12009,15,87.0015
12027,15,87.0015
12045,15,87.0015
12063,15,87.0015
12082,15,87.0015
12099,15,87.0015
12118,15,87.0014
12136,14,93.0014
12153,14,93.0015
12172,15,87.0015
12190,15,87.0015
12209,15,87.0016
12227,16,81.0016
12244,16,81.0016
12263,16,81.0015
12281,15,87.0015
12300,15,87.0015
12317,15,87.0015
12336,15,87.0015
12354,15,87.0016
12372,16,81.0016
12390,16,81.0016
12408,16,81.0016
12427,16,81.0016
12445,16,81.0016
12464,16,81.0016
12481,16,81.0016
12499,16,81.0016
12518,16,81.0015
12536,15,87.0015
12555,15,87.0015
12572,15,87.0015
12591,15,87.0015
12609,15,87.0015
12626,15,87.0015
12645,15,87.0015
12663,15,87.0015
12682,15,87.0015
12699,15,87.0015
12718,15,87.0015
12736,15,87.0015
12754,15,87.0015
12772,15,87.0015
12790,15,87.0016
