time,distance,angle
5014,4,122.004
5031,4,122.004
5049,4,122.004
5066,4,122.006
5084,6,122.008
5102,8,122.007
5120,7,122.007
5137,7,122.007
5154,7,122.007
5172,7,122.007
5190,7,122.006
5208,6,122.004
5225,4,122.007
5242,7,122.007
5260,7,122.006
5277,6,122.007
5296,7,122.005
5313,5,122.004
5330,4,122.006
5348,6,122.006
5365,6,122.004
5383,4,122.005
5400,5,122.005
5417,5,122.004
5435,4,122.005
5453,5,122.006
5471,6,122.006
5488,6,122.006
5506,6,122.007
5523,7,122.007
5541,7,122.005
5559,5,122.008
5576,8,122.009
5594,9,122.0012
5612,12,122.0013
5630,13,122.009
5648,9,122.0015
5666,15,122.0015
5685,15,122.001
5702,10,122.0012
5721,12,122.0011
5738,11,122.001
5756,10,122.0016
5775,16,52.0019
5793,19,52.0015
5812,15,52.0016
5829,16,52.0016
5848,16,52.0015
5866,15,52.0024
5885,24,52.0032
5904,32,52.0024
5922,24,52.0014
5941,14,122.0012
5958,12,122.0013
5977,13,122.0013
5995,13,122.0012
6012,12,122.0013
6031,13,122.0013
6049,13,122.0013
6067,13,122.0014
6085,14,122.0014
6104,14,122.0014
6121,14,122.0022
6140,22,52.0023
6159,23,52.0017
6177,17,52.0017
6196,17,52.0015
6213,15,52.0015
6232,15,52.0017
6250,17,52.0018
6268,18,52.0017
6287,17,52.0017
6304,17,52.0025
6324,25,52.0026
6342,26,52.0018
6361,18,52.0018
6379,18,52.002
6397,20,52.0021
6416,21,52.002
6434,20,52.0021
6453,21,52.0023
6471,23,52.0021
6490,21,52.0021
6509,21,52.0022
6528,22,52.0022
6546,22,52.0021
6564,21,52.0022
6583,22,52.0023
6601,23,52.0023
6621,23,52.0023
6639,23,52.0023
6658,23,52.0025
6676,25,52.0024
6694,24,52.0023
6714,23,52.0023
6732,23,52.0024
6751,24,52.0024
6770,24,52.0025
6789,25,52.0026
6807,26,52.0027
6827,27,52.0028
6845,28,52.0027
6864,27,52.0027
6883,27,52.0026
6901,26,52.0028
6921,28,52.0029
6939,29,52.0027
6959,27,52.0025
6977,25,52.0027
6996,27,52.003
7015,30,52.0029
7034,29,52.0027
7053,27,52.0026
7072,26,52.0025
7091,25,52.0027
7109,27,52.0027
7129,27,52.0027
7147,27,52.0028
7166,28,52.0027
7185,27,52.0026
7203,26,52.0025
7223,25,52.0025
7241,25,52.0024
7260,24,52.0024
7279,24,52.0025
7298,25,52.0025
7316,25,52.0025
7335,25,52.0025
7354,25,52.0025
7372,25,52.0024
7391,24,52.0023
7410,23,52.0022
7429,22,52.0023
7447,23,52.0024
7465,24,52.0022
7484,22,52.0021
7502,21,52.0021
7522,21,52.0021
7540,21,52.0021
7559,21,52.0022
7577,22,52.002
7596,20,52.0019
7614,19,52.002
7632,20,52.002
7651,20,52.0019
7669,19,52.0019
7688,19,52.0018
7706,18,52.0018
7725,18,52.002
7743,20,52.002
7761,20,52.0018
7780,18,52.0018
7797,18,52.0018
7816,18,52.0018
7834,18,52.002
7853,20,52.0018
7871,18,52.0016
7889,16,52.0016
7908,16,52.0015
7925,15,52.0016
7944,16,52.0016
7962,16,52.0015
7981,15,52.0014
7998,14,122.0014
8016,14,122.0013
8035,13,122.0012
8052,12,122.0012
8071,12,122.0012
8088,12,122.0021
8108,21,52.0022
8126,22,52.0014
8144,14,122.0014
8162,14,122.0023
8181,23,52.002
8199,20,52.002
8218,20,52.002
8236,20,52.009
8254,9,122.009
8271,9,122.008
8289,8,122.006
8306,6,122.007
8325,7,122.007
8342,7,122.006
8359,6,122.007
8377,7,122.005
8394,5,122.005
8413,5,122.005
8430,5,122.005
8448,5,122.007
8465,7,122.005
8482,5,122.006
8500,6,122.006
8517,6,122.006
8536,6,122.006
