time,distance,angle
0.014,4,122.008
0.031,8,110.008
0.049,8,111.008
0.067,8,111.007
0.085,7,114.007
0.102,7,114.006
0.12,6,117.005
0.137,5,120.005
0.154,5,120.005
0.173,5,120.006
0.19,6,116.008
0.208,8,110.007
0.225,7,114.006
0.242,6,117.007
0.261,7,113.005
0.278,5,120.004
0.296,4,122.006
0.313,6,116.008
0.33,8,110.007
0.349,7,114.006
0.366,6,117.005
0.384,5,120.005
0.401,5,120.006
0.419,6,116.006
0.436,6,117.008
0.454,8,110.001
0.472,10,104.009
0.489,9,108.007
0.508,7,114.009
0.525,9,107.009
0.542,9,108.008
0.561,8,111.008
0.578,8,111.008
0.596,8,111.009
0.613,9,107.009
0.632,9,108.009
0.649,9,108.001
0.667,10,104.0011
0.685,11,101.009
0.702,9,108.002
0.722,20,67.0028
0.74,28,52.0027
0.76,27,52.003
0.779,30,52.0027
0.797,27,52.0018
0.816,18,77.0011
0.833,11,103.009
0.851,9,108.001
0.869,10,104.0012
0.888,12,98.0012
0.905,12,99.0012
0.923,12,99.0011
0.941,11,102.001
0.959,10,105.0011
0.977,11,101.0011
0.995,11,102.0011
1.012,11,102.0013
1.031,13,95.0013
1.049,13,96.0013
1.067,13,96.0014
1.085,14,92.0013
1.104,13,96.0012
1.121,12,99.0013
1.139,13,95.0014
1.158,14,92.0015
1.175,15,89.0015
1.194,15,90.0015
1.212,15,90.0015
1.23,15,90.0015
1.248,15,90.0015
1.266,15,90.0017
1.285,17,78.0017
1.303,17,78.0016
1.321,16,82.0019
1.34,19,72.0021
1.359,21,66.0018
1.376,18,76.0017
1.394,17,79.002
1.413,20,69.0019
1.431,19,73.0019
1.45,19,72.0019
1.468,19,72.0018
1.487,18,76.0021
1.505,21,66.0021
1.523,21,66.0018
1.542,18,76.0018
1.56,18,75.002
1.579,20,69.002
1.597,20,69.002
1.616,20,69.0021
1.634,21,66.002
1.652,20,70.0019
1.671,19,73.002
1.689,20,69.0019
1.708,19,73.0021
1.726,21,66.0021
1.745,21,66.002
1.764,20,70.0021
1.782,21,66.002
1.801,20,70.002
1.819,20,69.002
1.838,20,69.0019
1.856,19,73.0019
1.875,19,72.0019
1.893,19,72.0022
1.912,22,63.0022
1.93,22,63.0019
1.948,19,73.0019
1.967,19,72.002
1.985,20,69.0019
2.004,19,73.0018
2.022,18,76.0019
2.041,19,72.002
2.059,20,69.0021
2.077,21,66.0019
2.096,19,73.0017
2.114,17,79.0019
2.133,19,72.0027
2.151,27,52.0024
2.17,24,58.0017
2.188,17,80.0019
2.206,19,72.0019
2.225,19,72.0017
2.243,17,79.0017
2.262,17,78.0019
2.28,19,72.0021
2.299,21,66.0018
2.317,18,76.0016
2.334,16,82.0016
2.353,16,81.0017
2.371,17,78.0017
2.39,17,78.0015
2.408,15,85.0015
2.426,15,84.002
2.445,20,68.0019
2.462,19,73.0014
2.481,14,93.0015
2.499,15,89.0015
2.518,15,89.0017
2.536,17,78.0016
2.554,16,82.0014
2.572,14,92.0014
2.59,14,93.0014
2.608,14,93.0013
2.626,13,96.0014
2.645,14,92.0014
2.662,14,93.0014
2.681,14,93.0015
2.699,15,89.0014
2.716,14,93.0014
2.735,14,93.0013
2.752,13,96.0013
2.771,13,96.0013
2.789,13,96.0012
2.806,12,99.0012
2.825,12,99.0013
2.842,13,95.0012
2.861,12,99.0011
2.879,11,102.0013
2.897,13,95.0012
2.915,12,99.0011
2.932,11,102.001
2.951,10,105.001
2.968,10,105.0011
2.987,11,101.0011
3.004,11,102.0011
3.023,11,102.001
3.04,10,105.0011
3.058,11,101.0012
3.077,12,98.0012
3.094,12,99.0011
3.113,11,102.0011
3.13,11,102.0012
3.148,12,98.0013
3.166,13,95.0013
3.184,13,96.0013
3.202,13,96.0013
3.22,13,96.0013
3.239,13,96.0012
3.256,12,99.0011
3.274,11,102.0011
3.292,11,102.0011
3.31,11,102.0012
3.328,12,98.0011
3.346,11,102.0011
3.364,11,102.0011
3.382,11,102.001
3.399,10,105.0011
3.418,11,101.0012
3.436,12,98.0012
3.454,12,99.0012
3.472,12,99.0011
3.489,11,102.001
3.508,10,105.0011
3.525,11,101.0012
3.544,12,98.0011
3.561,11,102.001
3.58,10,105.001
3.597,10,105.001
3.615,10,105.0012
3.633,12,98.0012
3.651,12,99.0012
3.669,12,99.0012
3.687,12,99.0012
3.706,12,99.0011
3.723,11,102.0018
3.741,18,74.0021
3.76,21,66.0016
3.778,16,83.0014
3.797,14,93.0013
3.814,13,96.0015
3.833,15,89.0015
3.851,15,90.0014
3.868,14,93.0014
3.887,14,93.0013
3.905,13,96.0013
3.923,13,96.0014
3.941,14,92.0014
3.96,14,93.0015
3.977,15,89.0013
3.995,13,96.0014
4.014,14,92.0015
4.031,15,89.0016
4.05,16,82.0016
4.068,16,81.0014
4.086,14,92.0014
4.104,14,93.0014
4.122,14,93.0014
4.14,14,93.0014
4.158,14,93.0014
4.177,14,93.0014
4.194,14,93.0014
4.212,14,93.0014
4.231,14,93.0014
4.248,14,93.0014
4.267,14,93.0014
4.285,14,93.0014
4.303,14,93.0014
4.321,14,93.0013
4.339,13,96.0013
4.357,13,96.0013
4.375,13,96.0013
4.393,13,96.0013
4.411,13,96.0013
4.428,13,96.0014
4.447,14,92.0015
4.465,15,89.0016
4.484,16,82.0015
4.501,15,85.0014
4.52,14,93.0015
4.538,15,89.0015
4.556,15,90.0013
4.574,13,96.0013
4.592,13,96.0014
4.61,14,92.0016
4.628,16,82.0015
4.647,15,85.0015
4.665,15,85.0015
4.682,15,85.0014
4.701,14,93.0014
4.719,14,93.0015
4.737,15,89.0016
4.755,16,82.0015
4.774,15,85.0015
4.792,15,85.0015
4.809,15,85.0015
4.828,15,85.0015
4.846,15,85.0015
4.864,15,85.0015
4.882,15,85.0015
4.901,15,85.0014
4.918,14,92.0014
4.936,14,93.0014
4.954,14,93.0013
4.972,13,96.0013
4.991,13,96.0013
5.008,13,96.0013
5.027,13,96.0014
5.045,14,92.0015
5.062,15,89.0015
5.081,15,90.0016
5.099,16,82.0016
5.118,16,81.0015
5.135,15,85.0014
5.153,14,92.0015
5.172,15,89.0014
5.19,14,93.0013
5.208,13,96.0013
5.226,13,96.0014
5.245,14,92.0016
5.262,16,82.0014
5.28,14,93.0013
5.299,13,96.0014
5.316,14,92.0015
5.335,15,89.0016
5.353,16,82.0016
5.372,16,81.0016
5.39,16,81.0016
5.408,16,81.0015
5.426,15,85.0015
5.444,15,84.0014
5.463,14,92.0013
5.48,13,96.0014
5.499,14,92.0016
5.517,16,82.0015
5.535,15,85.0015
5.553,15,85.0015
5.571,15,85.0014
5.59,14,93.0014
5.608,14,93.0015
5.626,15,89.0015
5.644,15,90.0015
5.662,15,90.0015
5.68,15,90.0015
5.698,15,90.0015
5.717,15,90.0014
5.734,14,93.0013
5.753,13,96.0013
5.771,13,96.0013
5.788,13,96.0013
5.807,13,96.0014
5.825,14,92.0015
5.843,15,89.0015
5.861,15,90.0015
5.88,15,90.0016
5.898,16,82.0015
5.915,15,85.0014
5.934,14,93.0015
5.952,15,89.0014
5.971,14,93.0013
5.988,13,96.0013
6.006,13,96.0013
6.024,13,96.0013
6.042,13,96.0013
6.061,13,96.0014
6.078,14,92.0015
6.097,15,89.0016
6.115,16,82.0016
6.133,16,81.0016
6.152,16,81.0016
6.169,16,81.0015
6.188,15,85.0015
6.206,15,84.0014
6.224,14,92.0013
6.242,13,96.0014
6.26,14,92.0015
6.279,15,89.0015
6.296,15,90.0014
6.315,14,93.0013
6.333,13,96.0014
6.352,14,92.0015
6.369,15,89.0015
6.387,15,90.0014
6.406,14,93.0013
6.423,13,96.0014
6.442,14,92.0015
6.46,15,89.0016
6.479,16,82.0016
6.496,16,81.0016
6.514,16,81.0015
6.533,15,85.0015
6.551,15,84.0014
6.569,14,92.0013
6.587,13,96.0013
6.606,13,96.0014
6.623,14,92.0016
6.641,16,82.0016
6.66,16,81.0014
6.678,14,92.0013
6.696,13,96.0013
6.714,13,96.0015
6.732,15,89.0016
6.751,16,82.0015
6.768,15,85.0015
6.787,15,85.0015
6.805,15,85.0015
6.824,15,85.0014
6.841,14,92.0013
6.859,13,96.0013
6.877,13,96.0013
6.895,13,96.0013
6.914,13,96.0013
6.931,13,96.0013
6.95,13,96.0014
