time,distance,angle
0.014,4.4,121.2036
0.0314,7.2,109.2036
0.0494,7.2,113.0036
0.067,7.2,113.0034
0.085,7,113.6038
0.102,7.4,112.404
0.1204,7.6,111.8036
0.1376,7.2,113.206
0.1546,6,116.8048
0.1728,4.8,120.0048
0.1898,4.8,119.8048
0.2078,4.8,119.6048
0.2248,4.8,119.8052
0.242,5.2,118.6062
0.2606,6.2,115.6058
0.2776,5.8,117.205
0.2958,5,119.6058
0.313,5.8,116.8056
0.33,5.6,117.805
0.3482,5,119.6056
0.3652,5.6,117.4048
0.3834,6.6,114.4034
0.4006,7,113.6068
0.4188,6.8,114.20474
0.4362,7.8,110.2061
0.4536,8.8,107.00462
0.472,8.4,109.6074
0.4892,7.4,112.606
0.5074,6,116.8062
0.5244,6.2,115.8066
0.5418,6.6,114.6068
0.5602,6.8,114.00602
0.5774,8,110.4064
0.5956,8.2,110.0076
0.6126,7.6,112.0074
0.6308,7.4,112.8074
0.6482,7.4,112.4058
0.6658,7.6,111.80642
0.684,8.4,109.20542
0.7012,9.2,106.80402
0.7196,11.4,99.204
0.7376,13,96.00478
0.7558,15.4,86.4044
0.774,15.2,89.80426
0.7922,15.6,85.40428
0.8106,14,89.60568
0.8278,10,105.40434
0.8458,11,101.40114
0.864,11.4,99.40266
0.8816,10.4,103.80266
0.9,10.4,103.8011
0.9174,11,101.60106
0.9358,10.6,103.2027
0.9538,10.8,102.2029
0.9716,12.8,94.80286
0.9898,12.4,96.80108
1.0072,10.8,102.60134
1.026,13.4,92.80164
1.0442,16.4,82.60148
1.0626,14.8,88.40126
1.0802,12.6,97.40126
1.0982,12.6,97.00132
1.1162,13.2,94.80132
1.1342,13.2,95.20134
1.153,13.4,94.4014
1.1704,14,92.40142
1.189,14.2,91.40146
1.207,14.6,89.80142
1.2246,14.2,92.00146
1.2432,14.6,90.0015
1.261,15,88.60154
1.2798,15.4,86.40158
1.2978,15.8,84.00156
1.3162,15.6,84.80166
1.334,16.6,81.20174
1.3524,17.4,78.20168
1.3708,16.8,80.00172
1.3888,17.2,77.80188
1.4076,18.8,72.60188
1.4256,18.8,73.20178
1.4444,17.8,76.00186
1.4626,18.6,73.2019
1.4806,19,72.2019
1.4994,19,72.40192
1.5174,19.2,71.60196
1.5364,19.6,70.40194
1.5544,19.4,71.00194
1.5732,19.4,71.20202
1.5914,20.2,68.40202
1.6096,20.2,68.60202
1.6286,20.2,68.80204
1.6468,20.4,68.00206
1.6658,20.6,67.40206
1.6838,20.6,67.40204
1.7026,20.4,68.20204
1.7208,20.4,68.20204
1.7392,20.4,68.0021
1.758,21,66.20214
1.7762,21.4,65.00218
1.7952,21.8,63.80212
1.8134,21.2,65.80212
1.8322,21.2,65.40216
1.8504,21.6,64.40216
1.869,21.6,64.40212
1.8878,21.2,66.00216
1.906,21.6,64.40222
1.925,22.2,62.60212
1.9432,21.2,66.0021
1.9622,21,66.40228
1.9802,22.8,61.40232
1.9994,23.2,63.00214
2.0176,21.4,65.80214
2.0362,21.4,65.0023
2.0552,23,61.4024
2.0734,24,61.60224
2.0926,22.4,63.0021
2.1106,21,66.80212
2.1294,21.2,65.60236
2.1478,23.6,60.00232
2.1662,23.2,62.00208
2.185,20.8,67.60208
2.203,20.8,67.00222
2.2224,22.2,63.2022
2.2404,22,64.00206
2.2596,20.6,68.00212
2.2776,21.2,65.80216
2.2964,21.6,64.40212
2.3148,21.2,66.0021
2.333,21,66.40202
2.3518,20.2,68.802
2.37,20,69.20196
2.389,19.6,70.60192
2.407,19.2,72.00194
2.4258,19.4,71.00204
2.444,20.4,67.802
2.4622,20,69.60186
2.4808,18.6,74.8019
2.4988,19,73.202
2.5182,20,70.20196
2.536,19.6,70.80186
2.5546,18.6,73.80176
2.5728,17.6,77.60174
2.591,17.4,78.20178
2.6096,17.8,76.80178
2.6276,17.8,76.80178
2.6464,17.8,76.80178
2.6642,17.8,77.20178
2.683,17.8,77.0018
2.7012,18,76.4018
2.7192,18,76.20184
2.738,18.4,75.20186
2.7558,18.6,74.80174
2.7744,17.4,78.6017
